Team_Slug,Club_Elo_Name,Global_Rank,ELO,Rated_At,Collected_At,Source_Url
b04,Leverkusen,16,1847,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
bmg,Gladbach,110,1681,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
bvb,Dortmund,12,1866,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
fca,Augsburg,118,1676,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
fcb,Bayern,1,2019,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
fck,Koeln,193,1638,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
fcu,UnionBerlin,129,1669,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
hsv,Hamburg,133,1667,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
m05,Mainz,76,1714,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
rbl,RBLeipzig,26,1811,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
s04,Schalke,233,1615,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
scf,Freiburg,60,1744,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
scp,Paderborn,190,1639,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
sge,Frankfurt,72,1723,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
sve,Elversberg,205,1632,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
svw,Werder,144,1662,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
tsg,Hoffenheim,64,1734,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
vfb,Stuttgart,30,1801,2026-08-14,2026-08-16T10:44:16Z,https://clubelo.com/GER
