Team_Slug,Team,Selected_Source,Membership_As_Of,Source_References,Source_Revision,Last_Known_Good_Snapshot_Id,DuckDB_Snapshot_As_Of,Player_Count,Coach_Count,Stable_Player_Id_Count,Known_Age_Count,Known_Position_Count,Valued_Player_Count,DuckDB_Gate_Result,Selection_Reason,Diagnostics
b04,Bayer 04 Leverkusen,FallbackSeed,2026-08-16,https://www.bayer04.de/de-de/team/werkself/bayer-04-leverkusen,N/A,N/A,N/A,31,1,30,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:1
bmg,Bor. Mönchengladbach,FallbackSeed,2026-08-16,https://www.borussia.de/kader-und-staff-fohlenelf,N/A,N/A,N/A,31,1,27,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:4
bvb,Borussia Dortmund,FallbackSeed,2026-08-16,https://www.bvb.de/de/de/mannschaften/fussball/profis.html,N/A,N/A,N/A,27,1,26,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:1
fca,FC Augsburg,FallbackSeed,2026-08-16,https://www.fcaugsburg.de/team/ | https://www.fcaugsburg.de/team/people,N/A,N/A,N/A,29,1,27,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:2
fcb,FC Bayern München,FallbackSeed,2026-08-16,https://fcbayern.com/de/teams/profis,N/A,N/A,N/A,25,1,25,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,NONE
fck,1. FC Köln,FallbackSeed,2026-08-16,https://fc.de/mannschaften/maenner/kader,N/A,N/A,N/A,26,1,25,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:1
fcu,1. FC Union Berlin,FallbackSeed,2026-08-16,https://www.fc-union-berlin.de/de-e/fussball/profis-maenner/kader-F0GX,N/A,N/A,N/A,30,1,27,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:3
hsv,Hamburger SV,FallbackSeed,2026-08-16,https://www.hsv.de/news/merlin-polzin-jeden-einzelnen-tag-gewinnen | https://www.hsv.de/news/ransford-koenigsdoerffer-verlaesst-den-hsv | https://www.hsv.de/profis/spieler/,N/A,N/A,N/A,30,1,30,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,NONE
m05,FSV Mainz 05,FallbackSeed,2026-08-16,https://www.mainz05.de/news/ransford-konigsdorffer-wird-mainzer | https://www.mainz05.de/news/trainingsauftakt-sommervorbereitung-profis-2627 | https://www.mainz05.de/tab/kader | https://www.mainz05.de/tab/trainer,N/A,N/A,N/A,29,1,27,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:2
rbl,RB Leipzig,FallbackSeed,2026-08-16,https://rbleipzig.com/de/teams/maenner,N/A,N/A,N/A,34,1,34,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,NONE
s04,FC Schalke 04,FallbackSeed,2026-08-16,https://schalke04.de/kader-2026-2027/ | https://schalke04.de/teams/profis/person/miron-muslic/,N/A,N/A,N/A,29,1,18,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:11
scf,SC Freiburg,FallbackSeed,2026-08-16,https://www.scfreiburg.com/teams/profis/spieler/ | https://www.scfreiburg.com/teams/profis/trainer/julian-schuster/,N/A,N/A,N/A,30,1,30,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,NONE
scp,SC Paderborn 07,FallbackSeed,2026-08-16,https://www.scp07.de/Teams/Profis/Mannschaft/,N/A,N/A,N/A,30,1,10,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:20
sge,Eintracht Frankfurt,FallbackSeed,2026-08-16,https://profis.eintracht.de/kader/,N/A,N/A,N/A,31,1,30,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:1
sve,SV Elversberg,FallbackSeed,2026-08-16,https://sv07elversberg.de/teams/profis/kader/,N/A,N/A,N/A,28,1,11,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:17
svw,Werder Bremen,FallbackSeed,2026-08-16,https://www.werder.de/teams/maenner/spieler/ | https://www.werder.de/teams/maenner/trainerteam,N/A,N/A,N/A,31,1,28,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:3
tsg,1899 Hoffenheim,FallbackSeed,2026-08-16,https://www.tsg-hoffenheim.de/teams/profis/team,N/A,N/A,N/A,29,1,26,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:3
vfb,VfB Stuttgart,FallbackSeed,2026-08-16,https://www.vfb.de/de/1893/profis/kader/saisonen/2026-2027/listenansicht/,N/A,N/A,N/A,34,1,33,0,0,0,NOT_EVALUATED,FALLBACK_SEED_BASELINE,MISSING_STABLE_PLAYER_IDS:1
