Kicktipp_Name,Team_Slug,Official_Name,Official_Roster_Source_Url,Club_Elo_Name,Transfermarkt_Club_Id
Bayer 04 Leverkusen,b04,Bayer 04 Leverkusen,https://www.bundesliga.com/de/bundesliga/clubs/bayer-04-leverkusen,Leverkusen,15
Bor. Mönchengladbach,bmg,Borussia Mönchengladbach,https://www.bundesliga.com/de/bundesliga/clubs/borussia-moenchengladbach,Gladbach,18
Borussia Dortmund,bvb,Borussia Dortmund,https://www.bundesliga.com/de/bundesliga/clubs/borussia-dortmund,Dortmund,16
FC Augsburg,fca,FC Augsburg,https://www.bundesliga.com/de/bundesliga/clubs/fc-augsburg,Augsburg,167
FC Bayern München,fcb,FC Bayern München,https://www.bundesliga.com/de/bundesliga/clubs/fc-bayern-muenchen,Bayern,27
1. FC Köln,fck,1. FC Köln,https://www.bundesliga.com/de/bundesliga/clubs/1-fc-koeln,Koeln,3
1. FC Union Berlin,fcu,1. FC Union Berlin,https://www.bundesliga.com/de/bundesliga/clubs/1-fc-union-berlin,UnionBerlin,89
Hamburger SV,hsv,Hamburger SV,https://www.bundesliga.com/de/bundesliga/clubs/hamburger-sv,Hamburg,41
FSV Mainz 05,m05,1. FSV Mainz 05,https://www.bundesliga.com/de/bundesliga/clubs/1-fsv-mainz-05,Mainz,39
RB Leipzig,rbl,RB Leipzig,https://www.bundesliga.com/de/bundesliga/clubs/rb-leipzig,RBLeipzig,23826
FC Schalke 04,s04,FC Schalke 04,https://www.bundesliga.com/de/bundesliga/clubs/fc-schalke-04,Schalke,33
SC Freiburg,scf,Sport-Club Freiburg,https://www.bundesliga.com/de/bundesliga/clubs/sport-club-freiburg,Freiburg,60
SC Paderborn 07,scp,SC Paderborn 07,https://www.bundesliga.com/de/bundesliga/clubs/sc-paderborn-07,Paderborn,127
Eintracht Frankfurt,sge,Eintracht Frankfurt,https://www.bundesliga.com/de/bundesliga/clubs/eintracht-frankfurt,Frankfurt,24
SV Elversberg,sve,SV Elversberg,https://www.bundesliga.com/de/bundesliga/clubs/sv-elversberg,Elversberg,64
Werder Bremen,svw,SV Werder Bremen,https://www.bundesliga.com/de/bundesliga/clubs/sv-werder-bremen,Werder,86
1899 Hoffenheim,tsg,TSG Hoffenheim,https://www.bundesliga.com/de/bundesliga/clubs/tsg-hoffenheim,Hoffenheim,533
VfB Stuttgart,vfb,VfB Stuttgart,https://www.bundesliga.com/de/bundesliga/clubs/vfb-stuttgart,Stuttgart,79
