Team_Slug,Team,Data_Collected_At,Role,Name,Transfermarkt_National_Team_Id,Transfermarkt_Player_Id,Age,Position,Market_Value_EUR
agypten,Ägypten,2026-06-03,Coach,Hossam Hassan,3672,,,Coach,
agypten,Ägypten,2026-06-03,Player,Mohamed Elshenawy,3672,134573,,Goalkeeper,
agypten,Ägypten,2026-06-03,Player,Yasser Ibrahim,3672,237425,,Defender,
agypten,Ägypten,2026-06-03,Player,Mohamed Hany,3672,343974,,Defender,
agypten,Ägypten,2026-06-03,Player,Hossam Abdelmaguid,3672,737524,,Defender,
agypten,Ägypten,2026-06-03,Player,Ramy Rabia,3672,172623,,Defender,
agypten,Ägypten,2026-06-03,Player,Mohamed Abdelmoneim,3672,566025,,Defender,
agypten,Ägypten,2026-06-03,Player,Trezeguet,3672,234189,,Attack,
agypten,Ägypten,2026-06-03,Player,Emam Ashour,3672,604008,,Midfield,
agypten,Ägypten,2026-06-03,Player,Hamza Abdelkarim,3672,,,Attack,
agypten,Ägypten,2026-06-03,Player,Mohamed Salah,3672,148455,,Attack,
agypten,Ägypten,2026-06-03,Player,Mostafa Zico,3672,,,Midfield,
agypten,Ägypten,2026-06-03,Player,Haissem Hassan,3672,620164,,Attack,
agypten,Ägypten,2026-06-03,Player,Ahmed Fatouh,3672,465966,,Defender,
agypten,Ägypten,2026-06-03,Player,Hamdy Fathy,3672,340303,,Midfield,
agypten,Ägypten,2026-06-03,Player,Karim Hafez,3672,333004,,Defender,
agypten,Ägypten,2026-06-03,Player,Mahdy Soliman,3672,,,Goalkeeper,
agypten,Ägypten,2026-06-03,Player,Mohanad Lashin,3672,,,Midfield,
agypten,Ägypten,2026-06-03,Player,Nabil Dunga,3672,479683,,Midfield,
agypten,Ägypten,2026-06-03,Player,Marawan Attia,3672,,,Midfield,
agypten,Ägypten,2026-06-03,Player,Ibrahim Adel,3672,677278,,Attack,
agypten,Ägypten,2026-06-03,Player,Mahmoud Saber,3672,729390,,Midfield,
