task_group,completed_task_files,task_keys,observed_agent_start,observed_agent_start_local,ledger_completed_at,ledger_completed_at_local,observed_finish,observed_finish_local,elapsed_seconds,agent_worker_seconds,agent_turns,agent_threads,agent_paths,commits_touching_task_files,completion_commits
P0-05,1,p0-05-prompt-route,2026-08-21T14:21:10Z,2026-08-21T16:21:10+02:00,2026-08-21T15:16:48Z,2026-08-21T17:16:48+02:00,2026-08-21T21:24:21Z,2026-08-21T23:24:21+02:00,25391.0,5368.607,7,2,/root/p0_05_prompt_route; /root/p0_status_audit,4,63058c0
P0-06,1,p0-06-model-ledger-and-cost-baseline,2026-08-21T15:20:54Z,2026-08-21T17:20:54+02:00,2026-08-27T06:33:06Z,2026-08-27T08:33:06+02:00,2026-08-27T07:11:44Z,2026-08-27T09:11:44+02:00,489050.0,46746.391,47,11,/root/p0_05_prompt_route; /root/p0_06_cutoff_review; /root/p0_06_historical_review; /root/p0_06_luna_cost; /root/p0_06_luna_cost/historical_compat_map; /root/p0_06_owner_gate_audit; /root/p0_06_remediation_review; /root/p0_06_sol_max_cost_writer; /root/p0_06_sol_max_gate_review; /root/p0_closeout_owner_selection; /root/p0_status_audit,15,c9dd22e
P0-13,1,p0-13-bonus-context-baseline,2026-08-21T13:41:16Z,2026-08-21T15:41:16+02:00,2026-08-21T14:17:54Z,2026-08-21T16:17:54+02:00,2026-08-21T14:17:54Z,2026-08-21T16:17:54+02:00,2198.0,2162.478,1,1,/root/p0_status_audit,1,870701d
P0-14,1,p0-14-profile-driven-collection,2026-08-21T16:50:25Z,2026-08-21T18:50:25+02:00,2026-08-21T18:44:35Z,2026-08-21T20:44:35+02:00,2026-08-21T18:44:35Z,2026-08-21T20:44:35+02:00,6850.0,4167.377,2,1,/root/p0_code_seams,4,c5153bd
P0-15,1,p0-15-context-document-hygiene,2026-08-21T17:14:50Z,2026-08-21T19:14:50+02:00,2026-08-21T20:00:42Z,2026-08-21T22:00:42+02:00,2026-08-21T20:00:42Z,2026-08-21T22:00:42+02:00,9952.0,8091.508,9,3,/root/p0_05_prompt_route; /root/p0_code_seams; /root/p0_status_audit,3,6901bc7
P0-16,1,p0-16-question-aware-bonus-context,2026-08-21T20:01:50Z,2026-08-21T22:01:50+02:00,2026-08-21T21:05:39Z,2026-08-21T23:05:39+02:00,2026-08-21T21:05:39Z,2026-08-21T23:05:39+02:00,3829.0,3291.192,3,1,/root/p0_code_seams,4,fe48c82
P0-17,1,p0-17-community-scope,2026-08-21T20:02:01Z,2026-08-21T22:02:01+02:00,2026-08-21T21:52:14Z,2026-08-21T23:52:14+02:00,2026-08-21T21:58:38Z,2026-08-21T23:58:38+02:00,6997.0,3125.161,5,3,/root/p0_05_prompt_route; /root/p0_17_ci; /root/p0_code_seams,5,5b231f2
P0-18,1,p0-18-base-workflow-support,2026-08-21T19:50:36Z,2026-08-21T21:50:36+02:00,2026-08-21T22:38:33Z,2026-08-22T00:38:33+02:00,2026-08-21T23:04:08Z,2026-08-22T01:04:08+02:00,11612.0,6187.75,10,5,/root/p0_18_context; /root/p0_18_prediction; /root/p0_18_prediction_review; /root/p0_19_audit; /root/p0_status_audit,4,481fac5
P0-19,8,p0-19-arena-luna-medium-self-contained-workflow-triad; p0-19-arena-luna-self-contained-workflow-triad; p0-19-arena-production-copy-workflow-triad; p0-19-arena-sol-high-self-contained-workflow-triad; p0-19-arena-terra-xhigh-self-contained-workflow-triad; p0-19-pes-squad-production-reference-workflow-triad; p0-19-relaxdays-production-copy-workflow-triad; p0-19-schadensfresse-production-copy-workflow-triad,2026-08-21T21:59:01Z,2026-08-21T23:59:01+02:00,2026-08-27T21:58:41Z,2026-08-27T23:58:41+02:00,2026-08-28T06:49:21Z,2026-08-28T08:49:21+02:00,550220.0,6441.174,18,11,/root/p0_06_luna_cost; /root/p0_18_prediction; /root/p0_18_prediction_review; /root/p0_19_arena_writer; /root/p0_19_audit; /root/p0_19_ci; /root/p0_19_p0_21_closeout_audit; /root/p0_20_arena_validation; /root/p0_final_evidence_writer; /root/p0_preobservation_doc_review_v2; /root/p0_schadens_schedule_writer,17,c9dd22e; 1dc299a; 89b8751; c9dd22e; c9dd22e; c9dd22e; c9dd22e; 3dd93d5
P0-20,1,p0-20-seed-and-development-validation,2026-08-21T22:43:40Z,2026-08-22T00:43:40+02:00,2026-08-25T09:49:09Z,2026-08-25T11:49:09+02:00,2026-08-25T21:11:31Z,2026-08-25T23:11:31+02:00,340071.0,48104.729,79,13,/root/p0_06_cutoff_review; /root/p0_06_remediation_review; /root/p0_19_audit; /root/p0_19_ci; /root/p0_20_arena_validation; /root/p0_20_ci; /root/p0_20_credentials_writer; /root/p0_20_csv_review; /root/p0_20_csv_writer; /root/p0_20_fullseason_review; /root/p0_20_live_validation; /root/p0_20_prompt_review; /root/p0_20_workflow_failure_review,12,08c9e39
P0-21,1,p0-21-production-activation,2026-08-25T13:07:28Z,2026-08-25T15:07:28+02:00,2026-08-28T06:50:04Z,2026-08-28T08:50:04+02:00,2026-08-28T06:50:04Z,2026-08-28T08:50:04+02:00,236556.0,34805.179,32,22,/root/p0_06_luna_cost; /root/p0_06_owner_gate_audit; /root/p0_19_p0_21_closeout_audit; /root/p0_20_arena_validation; /root/p0_20_workflow_failure_review; /root/p0_21_pes_readiness_refresh; /root/p0_23_luna_retry_review; /root/p0_completion_audit; /root/p0_deadline_audit; /root/p0_live_arena_ladder; /root/p0_luna_bonus_recovery_audit; /root/p0_schadens_onboarding_review_v2; /root/p0_schedule_activation_audit; /root/p0_schedule_activation_final_review; /root/p0_schedule_activation_final_review_v2; /root/p0_schedule_activation_final_writer; /root/p0_schedule_activation_preflight; /root/p0_schedule_activation_review; /root/p0_schedule_activation_writer; /root/p0_schedule_input_audit; /root/p0_schedule_proposal_refresh_review; /root/p0_schedule_proposal_refresh_writer,19,dd4d563
P0-22,1,p0-22-history-played-dates,2026-08-21T13:41:27Z,2026-08-21T15:41:27+02:00,2026-08-21T16:34:03Z,2026-08-21T18:34:03+02:00,2026-08-25T00:19:08Z,2026-08-25T02:19:08+02:00,297461.0,13817.076,7,3,/root/p0_20_history_review; /root/p0_code_seams; /root/p0_status_audit,6,6541e1f
P0-23,1,p0-23-gpt-5-6-production-candidate-evidence,2026-08-25T10:30:37Z,2026-08-25T12:30:37+02:00,2026-08-26T16:57:50Z,2026-08-26T18:57:50+02:00,2026-08-27T07:21:34Z,2026-08-27T09:21:34+02:00,161457.0,73385.573,82,33,/root/ci_78f4d3b_reconcile; /root/p0_06_luna_cost; /root/p0_20_arena_validation; /root/p0_23_analysis_tooling_review; /root/p0_23_analysis_tooling_writer; /root/p0_23_budget_tool; /root/p0_23_budget_tool_rereview; /root/p0_23_budget_tool_review; /root/p0_23_checkpoint_ci; /root/p0_23_checkpoint_review; /root/p0_23_cost_audit; /root/p0_23_cost_checkpoint_review; /root/p0_23_cost_evidence_audit; /root/p0_23_final_evidence_audit; /root/p0_23_gpt56_evidence; /root/p0_23_live_cost_rows; /root/p0_23_live_readiness; /root/p0_23_local_artifacts; /root/p0_23_luna_retry_review; /root/p0_23_phase1_review; /root/p0_23_phase2_review; /root/p0_23_prereg_rereview; /root/p0_23_prereg_review; /root/p0_23_quality_execution_audit; /root/p0_23_quality_freeze_review; /root/p0_23_quality_freeze_writer; /root/p0_23_quality_live; /root/p0_23_quality_report_plan; /root/p0_23_quality_topology; /root/p0_25_roster_review; /root/p0_doc_consistency; /root/sol_max_exact_review; /root/sol_max_quality,14,abb4dc2
P0-24,1,p0-24-bonus-copy-post-compatibility,2026-08-25T10:05:49Z,2026-08-25T12:05:49+02:00,2026-08-25T11:49:56Z,2026-08-25T13:49:56+02:00,2026-08-26T17:34:12Z,2026-08-26T19:34:12+02:00,113303.0,9520.479,13,4,/root/p0_06_luna_cost; /root/p0_20_arena_validation; /root/p0_20_workflow_failure_review; /root/p0_23_luna_retry_review,3,ece6b50
P0-25,1,p0-25-roster-enrichment-and-team-total,2026-08-25T22:30:41Z,2026-08-26T00:30:41+02:00,2026-08-26T01:33:42Z,2026-08-26T03:33:42+02:00,2026-08-26T01:39:23Z,2026-08-26T03:39:23+02:00,11322.0,8629.353,16,2,/root/p0_25_roster_review; /root/p0_roster_enrichment_audit,6,22e8693
