thread_id,agent_path,task_group,turn_id,started_at,started_at_local,completed_at,completed_at_local,duration_seconds,time_to_first_token_seconds,outcome,model,reasoning_effort,error,result_sha256,result_excerpt
01a07d13-c63d-77f3-903d-6e071fb2b414,/root/p1_04_05_arch_reconcile,shared foundation,01a07d13-c753-7ae0-bc64-a9b6be1d99a5,2026-09-07T18:14:03Z,2026-09-07T20:14:03+02:00,2026-09-07T18:22:26Z,2026-09-07T20:22:26+02:00,503.408,4.228,completed,gpt-6-astra,high,,e7ab7e300f5c2089fa2601b3361e2a3ff3cef80954be52f90a986cd44df1efc2,
01a07d1c-7d73-7d80-9c6d-6edda2bddd65,/root/p1_04_05_spec_review,shared foundation,01a07d1c-7e8e-7921-8c5b-4215fe9610f3,2026-09-07T18:23:34Z,2026-09-07T20:23:34+02:00,2026-09-07T18:41:26Z,2026-09-07T20:41:26+02:00,1071.915,7.423,completed,gpt-5.6-sol,xhigh,,3ed721a7491c0d1bbfbb7fd8ef2f1d608125e42f3eaf9eecf2800051cc7a17d2,
01a07d32-4c63-7b92-af15-a53eac467025,/root/p1_04_05_s0_contracts,shared foundation,01a07d32-4da5-74d0-8045-35276c143939,2026-09-07T18:47:23Z,2026-09-07T20:47:23+02:00,2026-09-07T18:58:49Z,2026-09-07T20:58:49+02:00,685.551,4.475,completed,gpt-5.6-terra,high,,b832bcbe34c1b05cd011f6a16c7d4da5cb64001f3105a4bafb2444377c047784,
01a07d32-4c63-7b92-af15-a53eac467025,/root/p1_04_05_s0_contracts,shared foundation,01a07d4f-e76a-7501-874a-918bea958fb3,2026-09-07T19:19:43Z,2026-09-07T21:19:43+02:00,2026-09-07T19:26:14Z,2026-09-07T21:26:14+02:00,389.83,4.17,completed,gpt-5.6-terra,high,,d592ee058a2d503506ac352c416fe80bd5f9b6f291b73610a71d4d40fbaa7e3f,
01a07d32-4c63-7b92-af15-a53eac467025,/root/p1_04_05_s0_contracts,P1-04,01a07d65-ead0-7a62-b002-6ea1ee79bdb1,2026-09-07T19:43:46Z,2026-09-07T21:43:46+02:00,2026-09-07T19:50:21Z,2026-09-07T21:50:21+02:00,395.482,5.207,completed,gpt-5.6-terra,high,,697b9679b7c9c8456ef4972c0fcadb3c1b8c3c18355396c7edb377a3102c7842,
01a07d32-4c63-7b92-af15-a53eac467025,/root/p1_04_05_s0_contracts,P1-04,01a07d76-5f9e-7d81-994a-f4a3f8c1803c,2026-09-07T20:01:44Z,2026-09-07T22:01:44+02:00,2026-09-07T20:04:46Z,2026-09-07T22:04:46+02:00,181.68,2.903,completed,gpt-5.6-terra,high,,5070cf65febbe3f229c05db76e6e027c345eb54298d0088bdaa8184a7df2da25,
01a07d3d-ad14-7260-b7ad-b369d75a01f2,/root/p1_04_05_s0_review,shared foundation,01a07d3d-ae07-7751-a741-e6da0f642156,2026-09-07T18:59:49Z,2026-09-07T20:59:49+02:00,2026-09-07T19:18:57Z,2026-09-07T21:18:57+02:00,1148.069,6.603,completed,gpt-5.6-sol,xhigh,,289b769111132a8bb2b3272b25768e546db7280832244fd518432e776724bdb9,
01a07d3d-ad14-7260-b7ad-b369d75a01f2,/root/p1_04_05_s0_review,shared foundation,01a07d56-6de2-7b63-a3ed-61a3e0f4b978,2026-09-07T19:26:51Z,2026-09-07T21:26:51+02:00,2026-09-07T19:42:36Z,2026-09-07T21:42:36+02:00,945.226,7.426,completed,gpt-5.6-sol,xhigh,,7834272fd04e5e5ebb55c6b056be01c138660985b16ac3fd3ace2005bd16fc21,
01a07d3d-ad14-7260-b7ad-b369d75a01f2,/root/p1_04_05_s0_review,P1-04,01a07d6c-80e2-7023-be0f-ff01459d1996,2026-09-07T19:50:58Z,2026-09-07T21:50:58+02:00,2026-09-07T19:57:50Z,2026-09-07T21:57:50+02:00,412.276,4.997,completed,gpt-5.6-sol,xhigh,,97db03faf14abc19633a01858828a9c361810dc19961b7f6cdf32891e27ac6eb,
01a07d7d-a305-7a13-8523-7cb33f673056,/root/p1_04_05_s0_matrix_diagnosis,shared foundation,01a07d7d-a429-7933-a6b0-375f812ce39f,2026-09-07T20:09:41Z,2026-09-07T22:09:41+02:00,2026-09-07T20:22:30Z,2026-09-07T22:22:30+02:00,768.914,5.898,completed,gpt-5.6-sol,high,,52cbfb67cf790a8d276224b8b7587b18e7dbb81eba0cc6d5cfbf5632b0002e44,
01a07d8d-75ad-7471-ab73-d3f3ababfabf,/root/p1_04_05_s0_matrix_writer,shared foundation,01a07d8d-76ca-7a32-98b2-e904e0134d6e,2026-09-07T20:26:58Z,2026-09-07T22:26:58+02:00,2026-09-07T20:31:46Z,2026-09-07T22:31:46+02:00,288.83,4.638,completed,gpt-5.6-terra,high,,bb156b2e0e2dac3693019cc6fa1d65053b716d13dcb7754e630ba4ab5bd38db7,
01a07d93-0c98-7482-8afa-d68b880fee7b,/root/p1_04_05_s0_final_acceptance,P1-04,01a07d93-0da1-7142-9bf2-fa488a195b63,2026-09-07T20:33:04Z,2026-09-07T22:33:04+02:00,2026-09-07T20:52:18Z,2026-09-07T22:52:18+02:00,1154.002,5.61,completed,gpt-5.6-sol,xhigh,,606548ccf27a3e5b8c3f3b25f0d4dfcecfc935109e2342c0e4be181ed41bbce9,
