thread_id,agent_path,task_group,turn_id,started_at,started_at_local,completed_at,completed_at_local,duration_seconds,time_to_first_token_seconds,outcome,model,reasoning_effort,error,result_sha256,result_excerpt
01a0a218-398b-71c0-8237-969d66b6518c,/root/p1_preview_audit,orchestration,01a0a218-3aa1-7a60-b6e4-f9d09c7c3608,2026-09-14T22:44:52Z,2026-09-15T00:44:52+02:00,2026-09-14T22:55:10Z,2026-09-15T00:55:10+02:00,618.573,3.298,completed,gpt-5.6-sol,high,,df6ebc1ac493e2aa8e39ba369f8f41bf8fcca1a7bde759b074ffb33b1f94d8ba,
01a0a228-33d8-76e0-b830-15f895b6ea3d,/root/c3_writer,P1-04,01a0a228-34d9-7e70-9f44-6ed335f45d60,2026-09-14T23:02:19Z,2026-09-15T01:02:19+02:00,2026-09-14T23:07:29Z,2026-09-15T01:07:29+02:00,310.419,3.107,completed,gpt-5.6-terra,medium,,d92e3a45afa98cf842809d83ecd2b56dbff82db2ab9bfb66534b6ce50384fa5e,
01a0a228-33d8-76e0-b830-15f895b6ea3d,/root/c3_writer,P1-04,01a0a246-7ebe-7272-963f-c89e50f8defa,2026-09-14T23:35:24Z,2026-09-15T01:35:24+02:00,2026-09-14T23:44:27Z,2026-09-15T01:44:27+02:00,543.029,2.753,completed,gpt-5.6-terra,medium,,a202f64fcc8fae874e2b7b5f0ffec767c6c56f1cc5accdaece3992ca0d17d3e3,
01a0a228-33d8-76e0-b830-15f895b6ea3d,/root/c3_writer,P1-04,01a0a259-2eb7-7182-a49c-e8fc7667d31a,2026-09-14T23:55:48Z,2026-09-15T01:55:48+02:00,2026-09-15T00:01:44Z,2026-09-15T02:01:44+02:00,355.5,3.001,completed,gpt-5.6-terra,medium,,cb4e74d74a11dbeb8f82525b4e8d6461c953350ddc48933bec2184ccb3100972,
01a0a228-33d8-76e0-b830-15f895b6ea3d,/root/c3_writer,P1-04,01a0a263-e4f3-7f52-9b15-c02c897df09a,2026-09-15T00:07:30Z,2026-09-15T02:07:30+02:00,2026-09-15T00:12:29Z,2026-09-15T02:12:29+02:00,298.75,1.602,completed,gpt-5.6-terra,medium,,9c6a18d0f30fb50ae4e877c39572c97996af6fc7eb872dc740531f568938386d,
01a0a22e-4073-7561-ae63-8afb258b496a,/root/c3_implementation_review,P1-04,01a0a22e-427f-7593-8c6b-98d9b8ca6961,2026-09-14T23:08:55Z,2026-09-15T01:08:55+02:00,2026-09-14T23:27:33Z,2026-09-15T01:27:33+02:00,1117.615,6.786,completed,gpt-5.6-sol,xhigh,,5c26715616b438ae3e39acbe2801ae4d2ded9825c30f9f51d0beb1351b21d305,
01a0a22e-4073-7561-ae63-8afb258b496a,/root/c3_implementation_review,P1-04,01a0a251-015b-7a83-a84c-cf2465789578,2026-09-14T23:46:52Z,2026-09-15T01:46:52+02:00,2026-09-14T23:55:02Z,2026-09-15T01:55:02+02:00,489.739,4.782,completed,gpt-5.6-sol,xhigh,,58c487e9871541331d9b20c804659e900e07afb79d868fc3c0fdae41cf8679da,
01a0a22e-4073-7561-ae63-8afb258b496a,/root/c3_implementation_review,P1-04,01a0a260-0850-77d1-baf0-0f64c1a82896,2026-09-15T00:03:17Z,2026-09-15T02:03:17+02:00,2026-09-15T00:06:43Z,2026-09-15T02:06:43+02:00,205.685,7.637,completed,gpt-5.6-sol,xhigh,,963dae87a3ab3ebb7923c91f3a16a49fe698dea7100705f3738f718cc1e3c224,
01a0a240-3c50-7760-bd60-8b0b92eb72af,/root/c3_review_diagnosis,P1-04,01a0a240-3d86-72c1-a166-182e798fd390,2026-09-14T23:28:34Z,2026-09-15T01:28:34+02:00,2026-09-14T23:33:55Z,2026-09-15T01:33:55+02:00,321.793,3.629,completed,gpt-5.6-sol,high,,2a591be714fc4865b2f6e1037f6c80a0be7ae6f1329bd99933c769625dd56567,
01a0a269-789f-72a3-865e-8ddd80ff62cd,/root/c3_implementation_review_fresh,P1-04,01a0a269-7c1e-7dc0-a664-406070039a53,2026-09-15T00:13:37Z,2026-09-15T02:13:37+02:00,2026-09-15T00:31:16Z,2026-09-15T02:31:16+02:00,1059.51,6.183,completed,gpt-5.6-sol,xhigh,,1f3119c99cfce96e2145b9208f62f9277702e0755bb469cd1b795269a2a17612,
