thread_id,parent_thread_id,depth,agent_path,nickname,task_group,spawned_at,last_event_at,wall_span_seconds,turn_count,completed_turns,aborted_turns,incomplete_turns,active_seconds,models_and_responses,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,api_cost_equivalent_usd,log_bytes,log_lines
01a0a218-398b-71c0-8237-969d66b6518c,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/p1_preview_audit,Hypatia,orchestration,2026-09-14T22:44:51.876000Z,2026-09-14T22:55:10.587000Z,618.711,1,1,0,0,618.573,gpt-5.6-sol/high:23,1597746,1491968,0,14508,5487,1612254,1.310059,2491617,272
01a0a228-33d8-76e0-b830-15f895b6ea3d,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_writer,Cicero,P1-04,2026-09-14T23:02:18.978000Z,2026-09-15T00:15:15.727000Z,4376.749,4,4,0,0,1507.698,gpt-5.6-terra/medium:84,7585407,7375872,0,22003,4910,7607410,2.15828,5677562,613
01a0a22e-4073-7561-ae63-8afb258b496a,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_implementation_review,Ohm,P1-04,2026-09-14T23:08:55.561000Z,2026-09-15T00:06:43.436000Z,3467.875,3,3,0,0,1813.039,gpt-5.6-sol/xhigh:86,10597442,9917312,0,38220,21939,10635662,7.451845,7635745,715
01a0a240-3c50-7760-bd60-8b0b92eb72af,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_review_diagnosis,Curie,P1-04,2026-09-14T23:28:34.034000Z,2026-09-14T23:33:55.986000Z,321.952,1,1,0,0,321.793,gpt-5.6-sol/high:16,1275384,1151744,0,10519,4312,1285903,1.165638,2811566,161
01a0a269-789f-72a3-865e-8ddd80ff62cd,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_implementation_review_fresh,Rawls,P1-04,2026-09-15T00:13:36.820000Z,2026-09-15T00:31:16.702000Z,1059.882,1,1,0,0,1059.51,gpt-5.6-sol/xhigh:67,7052997,6526848,0,23744,11711,7076741,5.190215,8802631,556
01a0a27a-ca91-71f0-8464-a951770c2b30,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_cumulative_validation,Tesla,P1-04,2026-09-15T00:32:31.520000Z,2026-09-15T00:44:36.589000Z,725.069,1,1,0,0,724.933,gpt-5.6-sol/high:25,950736,883200,0,16219,4361,966955,0.947804,676854,192
01a0a286-d383-7bc1-9ae8-be8a8ad58a3f,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_cumulative_failure_diagnosis,Kierkegaard,P1-04,2026-09-15T00:45:40.233000Z,2026-09-15T00:57:41.713000Z,721.48,1,1,0,0,721.352,gpt-5.6-sol/high:35,4599022,4301184,0,24438,12621,4623460,3.400586,6920976,344
01a0a292-de8c-7522-9aec-dcf20c5249bb,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_reslice_spec_review,Socrates,P1-04,2026-09-15T00:58:49.492000Z,2026-09-15T01:07:30.246000Z,520.754,1,1,0,0,520.607,gpt-5.6-sol/xhigh:21,1965422,1840128,0,14592,8620,1980014,1.529067,3920667,225
01a0a29b-7fcd-76b1-bb51-ab4139d41d85,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_reslice_spec_review_v2,Faraday,P1-04,2026-09-15T01:08:15.061000Z,2026-09-15T01:15:06.814000Z,411.753,1,1,0,0,411.598,gpt-5.6-sol/xhigh:16,1436812,1292928,0,13944,7049,1450756,1.371587,4004330,188
01a0a2a2-7ea4-7f40-a5c6-c86373782d92,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_firebase_writer,Erdos,P1-04,2026-09-15T01:15:53.532000Z,2026-09-15T03:09:04.899000Z,6791.367,3,3,0,0,1057.272,gpt-5.6-terra/high:60,7755476,7319552,0,22190,8209,7777666,2.602038,3737218,443
01a0a2a9-1c2f-70d3-a951-a713baadc289,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_firebase_review,Bacon,P1-04,2026-09-15T01:23:07.182000Z,2026-09-15T03:13:40.579000Z,6633.397,3,3,0,0,771.346,gpt-5.6-sol/xhigh:39,4379118,4073472,0,18891,8263,4398009,3.229793,4478129,366
01a0a2b6-70bd-75e3-8e54-7ab41f5b091d,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_coordinator_writer,Ampere,P1-04,2026-09-15T01:37:40.716000Z,2026-09-15T02:33:13.971000Z,3333.255,3,3,0,0,750.15,gpt-5.6-terra/medium:55,4789218,4631808,0,17533,6738,4806751,1.451578,2658078,413
01a0a2ba-3211-7213-b3c4-5efb7e5f39e8,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_coordinator_review,Noether,P1-04,2026-09-15T01:41:46.774000Z,2026-09-15T02:37:50.386000Z,3363.612,3,3,0,0,555.166,gpt-5.6-sol/high:29,2863374,2641536,0,18824,4906,2882198,2.320446,5102253,296
01a0a2c3-8020-7b03-94c1-386d163cdb85,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_handoff_writer,Harvey,P1-04,2026-09-15T01:51:56.601000Z,2026-09-15T02:00:11.479000Z,494.878,1,1,0,0,494.757,gpt-5.6-terra/high:25,1811929,1708800,0,12047,4584,1823976,0.692582,1420417,204
01a0a2cb-d043-7c71-9cff-c5db2d6e88aa,01a0a211-c4bc-7941-86f9-37dfba1da3fa,1,/root/c3_handoff_review,Hilbert,P1-04,2026-09-15T02:01:01.399000Z,2026-09-15T02:03:24.804000Z,143.405,1,1,0,0,143.257,gpt-5.6-sol/high:7,378062,320640,0,4571,980,382633,0.449364,1150503,77
