thread_id,kind,agent_path,model,reasoning_effort,responses,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,api_cost_equivalent_usd
01a0a211-c4bc-7941-86f9-37dfba1da3fa,root,/root,gpt-5.6-sol,xhigh,695,89753393,87782272,0,226529,60109,89979922,47.527973
01a0a218-398b-71c0-8237-969d66b6518c,subagent,/root/p1_preview_audit,gpt-5.6-sol,high,23,1597746,1491968,0,14508,5487,1612254,1.310059
01a0a228-33d8-76e0-b830-15f895b6ea3d,subagent,/root/c3_writer,gpt-5.6-terra,medium,84,7585407,7375872,0,22003,4910,7607410,2.15828
01a0a22e-4073-7561-ae63-8afb258b496a,subagent,/root/c3_implementation_review,gpt-5.6-sol,xhigh,86,10597442,9917312,0,38220,21939,10635662,7.451845
01a0a240-3c50-7760-bd60-8b0b92eb72af,subagent,/root/c3_review_diagnosis,gpt-5.6-sol,high,16,1275384,1151744,0,10519,4312,1285903,1.165638
01a0a269-789f-72a3-865e-8ddd80ff62cd,subagent,/root/c3_implementation_review_fresh,gpt-5.6-sol,xhigh,67,7052997,6526848,0,23744,11711,7076741,5.190215
01a0a27a-ca91-71f0-8464-a951770c2b30,subagent,/root/c3_cumulative_validation,gpt-5.6-sol,high,25,950736,883200,0,16219,4361,966955,0.947804
01a0a286-d383-7bc1-9ae8-be8a8ad58a3f,subagent,/root/c3_cumulative_failure_diagnosis,gpt-5.6-sol,high,35,4599022,4301184,0,24438,12621,4623460,3.400586
01a0a292-de8c-7522-9aec-dcf20c5249bb,subagent,/root/c3_reslice_spec_review,gpt-5.6-sol,xhigh,21,1965422,1840128,0,14592,8620,1980014,1.529067
01a0a29b-7fcd-76b1-bb51-ab4139d41d85,subagent,/root/c3_reslice_spec_review_v2,gpt-5.6-sol,xhigh,16,1436812,1292928,0,13944,7049,1450756,1.371587
01a0a2a2-7ea4-7f40-a5c6-c86373782d92,subagent,/root/c3_firebase_writer,gpt-5.6-terra,high,60,7755476,7319552,0,22190,8209,7777666,2.602038
01a0a2a9-1c2f-70d3-a951-a713baadc289,subagent,/root/c3_firebase_review,gpt-5.6-sol,xhigh,39,4379118,4073472,0,18891,8263,4398009,3.229793
01a0a2b6-70bd-75e3-8e54-7ab41f5b091d,subagent,/root/c3_coordinator_writer,gpt-5.6-terra,medium,55,4789218,4631808,0,17533,6738,4806751,1.451578
01a0a2ba-3211-7213-b3c4-5efb7e5f39e8,subagent,/root/c3_coordinator_review,gpt-5.6-sol,high,29,2863374,2641536,0,18824,4906,2882198,2.320446
01a0a2c3-8020-7b03-94c1-386d163cdb85,subagent,/root/c3_handoff_writer,gpt-5.6-terra,high,25,1811929,1708800,0,12047,4584,1823976,0.692582
01a0a2cb-d043-7c71-9cff-c5db2d6e88aa,subagent,/root/c3_handoff_review,gpt-5.6-sol,high,7,378062,320640,0,4571,980,382633,0.449364
01a0a2d0-cdce-7f91-aa69-faecf9c3d45e,subagent,/root/c3_cumulative_validation_v2,gpt-5.6-sol,high,31,1126575,1088000,0,11785,2760,1138360,0.8252
01a0a2dd-1c16-7db3-9de7-a69f799f4d7c,subagent,/root/c3_final_acceptance,gpt-6-astra,xhigh,20,1571873,1454720,0,5669,1288,1577542,2.9097
01a0a2ee-efbe-7773-9a60-162ac276bcb9,subagent,/root/c3_cumulative_validation_v3,gpt-5.6-sol,high,24,1092393,1038848,0,14773,4241,1107166,0.925179
01a0a2fa-55cc-7153-865b-1158732a33f9,subagent,/root/c3_final_acceptance_v2,gpt-6-astra,xhigh,25,2135010,2032128,0,7944,1837,2142954,3.458148
01a0a310-517d-78d1-8a86-f0249856d0da,subagent,/root/c3_cumulative_validation_v4,gpt-5.6-sol,high,26,1043355,1000064,0,9652,3555,1053007,0.76623
01a0a319-fbc1-7160-ac7d-92d4e33b8282,subagent,/root/c3_final_acceptance_v3,gpt-6-astra,xhigh,21,2078274,1927040,0,6489,1602,2084763,3.76383
01a0a31f-d9e2-7c83-92d8-dd884d6ff39a,subagent,/root/c3_ci_monitor,gpt-5.6-luna,low,16,434248,370688,0,2941,402,437189,0.023655
01a0a325-3101-7a71-aeb1-d40e9fa7d497,subagent,/root/e1_writer,gpt-6-astra,xhigh,96,12259032,11973760,0,82330,26246,12341362,18.94298
01a0a358-c7ba-7b20-b5dd-feb2e57f24fd,subagent,/root/e1_reviewer,gpt-6-astra,xhigh,13,863743,764544,0,6484,2114,870227,2.080734
01a0a35e-e36b-7732-8ef6-cb2e3ea39df2,subagent,/root/e1_cumulative_validation,gpt-5.6-sol,high,56,3979829,3887488,0,29793,5449,4009622,2.520219
01a0a373-2405-7b72-8149-ba1d23bdb385,subagent,/root/e1_final_acceptance,gpt-6-astra,xhigh,16,1109422,1013120,0,6736,2427,1116158,2.31294
01a0a378-bc0b-7040-90e8-6b96601122cf,subagent,/root/e1_ci_monitor,gpt-5.6-luna,low,20,726468,660480,0,3458,343,729926,0.030557
01a0a37d-e684-7781-a2c7-1b0d3e275ab8,subagent,/root/closeout_writer,gpt-6-astra,high,15,693980,623232,0,10068,707,704048,1.834112
01a0a384-6006-7240-8498-5517c16162f0,subagent,/root/closeout_reviewer,gpt-6-astra,high,11,457325,404736,0,2169,127,459494,1.039076
01a0a389-b24f-7d53-8eef-621fe4724145,subagent,/root/closeout_ci_monitor,gpt-5.6-luna,low,17,545078,507648,0,2187,217,547265,0.020263
01a0a6a2-cbde-7fc1-bcc0-d9a446e93119,subagent,/root/p1_04_05_review_brief,gpt-6-astra,high,15,840967,759424,0,12800,496,853767,2.214854
01a0a213-f331-7231-9a5d-cc3ad3db9b4b,guardian,/guardian/auto-review,codex-auto-review,low,52,7264381,6010880,0,5430,2231,7269811,
01a0a228-3571-77e2-8f64-73857884600c,guardian,/guardian/auto-review,codex-auto-review,low,31,1332001,1224960,0,2267,505,1334268,
01a0a22e-42a0-7c83-b801-0a6e4d8a940d,guardian,/guardian/auto-review,codex-auto-review,low,11,615648,523520,0,978,309,616626,
01a0a27a-cc32-7ac1-97c6-ab00c9db7e80,guardian,/guardian/auto-review,codex-auto-review,low,3,74123,46336,0,445,297,74568,
01a0a2a2-805d-7071-a84d-0d2be6771be9,guardian,/guardian/auto-review,codex-auto-review,low,24,683431,598016,0,1956,484,685387,
01a0a2a9-1ec3-7961-a2d3-df78ef9afe17,guardian,/guardian/auto-review,codex-auto-review,low,3,82712,57600,0,382,187,83094,
01a0a2b6-724a-7882-a79c-a3776a6c3f92,guardian,/guardian/auto-review,codex-auto-review,low,11,307375,263424,0,908,276,308283,
01a0a2c3-81ac-74e1-97f3-7cf6268e0464,guardian,/guardian/auto-review,codex-auto-review,low,2,50992,29184,0,289,158,51281,
01a0a2d0-cf40-7380-b653-138d88b7971c,guardian,/guardian/auto-review,codex-auto-review,low,3,52807,41216,0,534,259,53341,
01a0a2ee-f150-7d82-a640-c322fce49ec6,guardian,/guardian/auto-review,codex-auto-review,low,7,159965,115968,0,759,271,160724,
01a0a302-76cf-7c31-86bf-9ef2e2f97644,guardian,/guardian/auto-review,codex-auto-review,low,15,408118,334080,0,1287,354,409405,
01a0a310-52b7-74d2-b93d-d75a1af84096,guardian,/guardian/auto-review,codex-auto-review,low,2,32719,18944,0,348,172,33067,
01a0a31f-db65-7f62-80ba-3057bd1f5b24,guardian,/guardian/auto-review,codex-auto-review,low,9,128083,106240,0,665,147,128748,
01a0a325-3299-7040-8215-7a5250c40e11,guardian,/guardian/auto-review,codex-auto-review,low,17,877359,800512,0,1317,322,878676,
01a0a35e-e561-76a3-9716-064eea4615aa,guardian,/guardian/auto-review,codex-auto-review,low,9,334925,284416,0,1256,582,336181,
01a0a378-bd99-7d73-b9fa-b35e8f16635a,guardian,/guardian/auto-review,codex-auto-review,low,17,353078,296704,0,1072,172,354150,
01a0a37d-e7fb-70f1-afff-ecd7a34e6eab,guardian,/guardian/auto-review,codex-auto-review,low,1,22494,8960,0,211,139,22705,
01a0a389-b416-7c40-b715-6ae415fea668,guardian,/guardian/auto-review,codex-auto-review,low,9,139288,121600,0,795,273,140083,
01a0a6a2-ce33-72a3-a0a5-f877a3508140,guardian,/guardian/auto-review,codex-auto-review,low,2,40124,19968,0,276,157,40400,
