started_at,ended_at,elapsed_seconds,denied_samples,minimum_memory_gib,admitted_memory_gib
2026-09-06T01:22:34.3443192+00:00,2026-09-06T07:19:11.3547831+00:00,21397.01,1,0.72,1.41
2026-09-06T09:33:31.4616582+00:00,2026-09-06T09:34:26.6434782+00:00,55.182,1,1.09,1.21
2026-09-06T13:27:47.1698306+00:00,2026-09-06T13:59:14.4703360+00:00,1887.301,1,0.87,1.32
2026-09-06T14:16:50.1077167+00:00,2026-09-06T14:47:18.2435168+00:00,1828.136,1,1.05,1.44
2026-09-06T14:58:05.3712569+00:00,2026-09-06T15:33:07.1933773+00:00,2101.822,1,0.96,1.47
2026-09-06T15:40:37.5774247+00:00,2026-09-06T16:00:21.8363318+00:00,1184.259,1,0.8,2.08
2026-09-06T16:26:28.3389680+00:00,2026-09-06T16:56:10.4910713+00:00,1782.152,1,0.78,2.01
2026-09-06T17:01:16.7141649+00:00,2026-09-06T17:08:19.5714723+00:00,422.857,1,0.96,1.2
2026-09-06T17:40:33.9658559+00:00,2026-09-06T18:09:38.7221506+00:00,1744.756,1,0.79,1.86
2026-09-06T18:38:29.0466557+00:00,2026-09-06T19:02:46.2940545+00:00,1457.247,1,0.97,2.07
2026-09-06T19:40:28.2063774+00:00,2026-09-06T20:08:02.9652745+00:00,1654.759,1,1.02,1.11
