thread_id,kind,agent_path,model,reasoning_effort,responses,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,api_cost_equivalent_usd
01a07449-de77-7ae0-ac4a-8f5330c43121,root,/root,gpt-5.6-sol,xhigh,1052,170464933,168786944,0,250134,59516,170715067,79.229414
01a0744c-a055-7c30-a4e6-70afc19f27c8,subagent,/root/context_architecture,gpt-5.6-sol,xhigh,56,6384111,6064256,0,55636,40245,6439747,4.817842
01a0744c-c9a4-7b90-abe6-93f3777ddb5c,subagent,/root/p1_04_audit,gpt-5.6-sol,high,37,4509338,4298112,0,21180,14465,4530518,2.987749
01a0744c-ed77-7731-9308-188b970877ee,subagent,/root/github_state,gpt-5.6-luna,low,5,124813,106240,0,1515,253,126328,0.007657
01a0744d-93ec-7973-8f41-1f753c89b368,subagent,/root/p1_05_audit,gpt-5.6-sol,high,51,6608906,6424576,0,25161,13852,6634067,3.81037
01a0745c-f00b-7852-9e21-07e23b393193,subagent,/root/context_spec_review,gpt-5.6-sol,xhigh,33,2947417,2812928,0,11811,6697,2959228,1.899347
01a07597-7545-7b61-a56b-b0303c72bd90,subagent,/root/p1_04_evidence,gpt-5.6-sol,high,91,10914826,10580480,0,34539,10819,10949365,6.260356
01a07597-e7d2-7fe2-8e45-431856c978c2,subagent,/root/p1_05_evidence,gpt-5.6-terra,medium,19,1102520,1024256,0,12216,2987,1114736,0.507971
01a075a1-fbe3-71d2-a92e-01cd73da0f1e,subagent,/root/context_spec_review_v2,gpt-5.6-sol,xhigh,31,2921559,2797440,0,23130,17259,2944689,2.078052
01a075ac-dd65-7a70-8bad-4af08472a0b3,subagent,/root/common_seam_revision,gpt-5.6-sol,xhigh,31,3507141,3191168,0,32254,17593,3539395,3.185439
01a075bc-186a-71f1-8a5a-7d1846fee11d,subagent,/root/common_seam_review_v2,gpt-5.6-sol,xhigh,40,3944215,3793152,0,17986,11821,3962201,2.481233
01a075cb-3229-7c91-a24a-b839eadedaed,subagent,/root/common_seam_review_v3,gpt-5.6-sol,xhigh,24,2333893,2203520,0,22090,18119,2355983,1.8447
01a075d6-77ed-75a3-9190-9bea40d016b7,subagent,/root/p1_04_05_packet_writer,gpt-5.6-terra,high,45,4185672,4020992,0,34653,4727,4220325,1.549394
01a075de-f24e-7d91-93c3-638534f99142,subagent,/root/packet_commit_review,gpt-5.6-sol,xhigh,36,3971915,3814400,0,19100,11504,3991015,2.53782
01a075ec-2bab-74a2-a25c-287473e1f9e0,subagent,/root/packet_commit_review_v2,gpt-5.6-sol,xhigh,35,3353284,3227520,0,23097,14146,3376381,2.256004
01a075f7-1d82-7763-b717-a29c32f9fa1a,subagent,/root/packet_contract_fix,gpt-5.6-sol,high,45,3663376,3571712,0,27519,8056,3690895,2.345721
01a07601-cc1b-7aa3-9bf0-340956eaf653,subagent,/root/packet_commit_review_v3,gpt-5.6-sol,xhigh,28,2898182,2739840,0,19462,10174,2917644,2.118544
01a0760b-607b-7d11-bf5f-5cf0bfc47756,subagent,/root/common_runtime_writer,gpt-5.6-terra,high,41,4119445,3985152,0,18048,3185,4137493,1.282192
01a07617-22ce-7c01-a94d-948932ad6c4c,subagent,/root/common_runtime_review,gpt-5.6-sol,xhigh,20,1408066,1323904,0,14681,8884,1422747,1.15983
01a0761d-77e2-74f0-8ea7-6251c50048fa,subagent,/root/common_runtime_fix,gpt-5.6-sol,high,129,17403053,17098240,0,82413,12610,17485466,9.706808
