timestamp,timestamp_local,change_type,additions,deletions
2026-09-06T01:18:32.958Z,2026-09-06T03:18:32.958000+02:00,add,0,0
2026-09-06T01:19:24.876Z,2026-09-06T03:19:24.876000+02:00,update,16,0
2026-09-06T01:21:31.060Z,2026-09-06T03:21:31.060000+02:00,update,1,1
2026-09-06T01:44:50.315Z,2026-09-06T03:44:50.315000+02:00,update,46,2
2026-09-06T01:47:15.173Z,2026-09-06T03:47:15.173000+02:00,update,1,1
2026-09-06T07:20:13.622Z,2026-09-06T09:20:13.622000+02:00,update,8,13
2026-09-06T07:28:01.518Z,2026-09-06T09:28:01.518000+02:00,update,11,0
2026-09-06T07:34:41.909Z,2026-09-06T09:34:41.909000+02:00,update,131,0
2026-09-06T07:43:59.108Z,2026-09-06T09:43:59.108000+02:00,update,30,0
2026-09-06T07:45:55.721Z,2026-09-06T09:45:55.721000+02:00,update,12,0
2026-09-06T08:00:43.994Z,2026-09-06T10:00:43.994000+02:00,update,126,0
2026-09-06T08:11:29.815Z,2026-09-06T10:11:29.815000+02:00,update,12,0
2026-09-06T08:16:47.836Z,2026-09-06T10:16:47.836000+02:00,update,112,0
2026-09-06T08:17:14.195Z,2026-09-06T10:17:14.195000+02:00,update,75,1
2026-09-06T08:27:30.249Z,2026-09-06T10:27:30.249000+02:00,update,7,0
2026-09-06T08:28:35.035Z,2026-09-06T10:28:35.035000+02:00,update,21,3
2026-09-06T08:48:11.618Z,2026-09-06T10:48:11.618000+02:00,update,11,0
2026-09-06T09:04:53.981Z,2026-09-06T11:04:53.981000+02:00,update,13,0
2026-09-06T09:05:01.266Z,2026-09-06T11:05:01.266000+02:00,update,2,0
2026-09-06T09:46:54.750Z,2026-09-06T11:46:54.750000+02:00,update,13,0
2026-09-06T10:27:59.716Z,2026-09-06T12:27:59.716000+02:00,update,2,0
2026-09-06T20:10:49.571Z,2026-09-06T22:10:49.571000+02:00,update,17,0
