agent_path,started_at,completed_at,active_seconds,total_tokens,api_cost_equivalent_usd,verdict,tags
/root/common_runtime_review,2026-09-06T09:40:23Z,2026-09-06T09:46:26Z,362.952,1422747,1.15983,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v2,2026-09-06T10:36:55Z,2026-09-06T10:48:33Z,698.273,4176675,2.801868,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v3,2026-09-06T11:22:55Z,2026-09-06T11:34:54Z,719.246,3378635,2.685535,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v4,2026-09-06T11:58:26Z,2026-09-06T12:13:34Z,907.897,5723637,3.74697,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v5,2026-09-06T12:49:19Z,2026-09-06T13:01:43Z,743.478,5373504,3.478179,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v6,2026-09-06T13:29:14Z,2026-09-06T13:42:53Z,818.83,4360405,3.053207,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v7,2026-09-06T14:17:45Z,2026-09-06T14:31:28Z,822.877,3845584,2.870243,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v8,2026-09-06T14:58:50Z,2026-09-06T15:18:45Z,1195.305,6587487,4.544383,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v9,2026-09-06T15:41:25Z,2026-09-06T15:51:48Z,623.083,4217711,2.838633,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v10,2026-09-06T16:05:53Z,2026-09-06T16:17:50Z,716.475,4219411,2.934671,blocked,health-freshness;receipt-provenance
/root/common_runtime_review_v11,2026-09-06T16:27:01Z,2026-09-06T16:48:34Z,1292.966,7364575,4.826457,blocked,replay-recovery;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v12,2026-09-06T17:09:40Z,2026-09-06T17:28:20Z,1119.185,6692314,4.444181,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v13,2026-09-06T17:41:16Z,2026-09-06T18:02:06Z,1250.105,6588204,4.526294,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v14,2026-09-06T18:12:44Z,2026-09-06T18:25:27Z,762.959,5402832,3.513728,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema;bundle-integrity
/root/common_runtime_review_v15,2026-09-06T18:39:06Z,2026-09-06T18:56:09Z,1022.762,7090388,4.580746,blocked,health-freshness;receipt-provenance
/root/common_runtime_review_v16,2026-09-06T19:07:09Z,2026-09-06T19:22:10Z,898.778,5911575,3.788569,blocked,replay-recovery;health-freshness;receipt-provenance;persistence-schema
/root/common_runtime_review_v17,2026-09-06T19:41:04Z,2026-09-06T19:59:00Z,1075.213,5930015,4.736854,blocked,health-freshness;receipt-provenance;persistence-schema;bundle-integrity
