thread_id,kind,agent_path,model,reasoning_effort,responses,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,api_cost_equivalent_usd
01a054ee-67b4-7ab2-a0b4-c9ffabc2da2e,root,/root,gpt-5.6-sol,xhigh,1141,177365748,174998272,0,293170,79615,177658918,85.332613
01a054f4-f876-75d0-8192-1fb8721930f8,subagent,/root/p1_architecture,gpt-5.6-sol,xhigh,60,5690770,5173248,0,41928,23765,5732698,4.977947
01a054f5-3469-7541-bbeb-b054dc2e7497,subagent,/root/p1_status_audit,gpt-5.6-terra,medium,20,1556479,1434624,0,8670,1173,1565149,
01a05502-899d-7f53-a4bb-d9b7152d7075,subagent,/root/p1_spec_review,gpt-5.6-sol,xhigh,41,3672407,3349248,0,18084,7993,3690491,2.994015
01a0574e-d5a9-7ff3-b38c-80def5a985ba,subagent,/root/recovery_ci_audit,gpt-5.6-luna,medium,22,1793331,1679872,0,8742,1859,1802073,
01a05772-aec2-7e12-a325-5f607e6fede4,subagent,/root/recovery_docs,gpt-5.6-terra,high,52,6472182,6281216,0,28502,3155,6500684,
01a05773-718a-7142-9930-e449553cd311,subagent,/root/revert_preflight,gpt-5.6-terra,high,23,2039551,1903872,0,16344,8507,2055895,
01a0577c-48e8-74a0-9c21-a0797ed9545c,subagent,/root/recovery_docs_review,gpt-5.6-sol,high,29,2528850,2387712,0,13022,5190,2541872,1.780077
01a0578c-ec8d-7d32-92c3-6f7d87c7f334,subagent,/root/recovery_runtime,gpt-5.6-terra,high,42,3456307,3336704,0,20534,6184,3476841,
01a05796-b1b0-74d2-9eaa-2fe4528bbe34,subagent,/root/recovery_b_review,gpt-5.6-sol,high,53,7148401,6929152,0,23510,7814,7171911,4.118857
01a05797-dd10-77c2-a505-1ebe8a00ff72,subagent,/root/recovery_validation,gpt-5.6-terra,medium,63,3067795,2971904,0,7109,1036,3074904,
01a057ba-198d-7660-958a-cfce97881c44,subagent,/root/recovery_ci_reconcile,gpt-5.6-luna,low,10,394781,341504,0,1630,224,396411,
01a057bd-3c57-7c03-985b-8a57ceeb73cb,subagent,/root/ci_failure_analysis,gpt-5.6-sol,high,21,2108228,1970944,0,10151,3336,2118379,1.540534
01a057c6-ad41-7af0-9cda-e2db9ba85c6c,subagent,/root/p1_12_ci_test_fix,gpt-5.6-terra,medium,13,608240,567040,0,4217,1149,612457,
01a057d3-042b-7160-b0e0-37e0a631962c,subagent,/root/p1_12_ci_fix_review,gpt-5.6-sol,high,11,433575,403712,0,3685,1062,437260,0.354637
01a057d4-20ff-7c03-a742-5bd7e976eb34,subagent,/root/recovery_natural_run_reconcile,gpt-5.6-luna,medium,9,217927,207616,0,1600,370,219527,
01a057d6-a329-7172-8988-ca7fabb0c96b,subagent,/root/p1_12_ci_fix_validation,gpt-5.6-terra,medium,10,254819,226816,0,925,126,255744,
01a057dc-9b1e-7540-bbe1-24c810367edd,subagent,/root/p1_full_branch_spec_review,gpt-5.6-sol,xhigh,23,2185604,2030848,0,23172,15600,2208776,1.894803
01a057de-e50e-7882-8cbc-e528ee406399,subagent,/root/recovery_d_ci_reconcile,gpt-5.6-luna,low,14,469372,440832,0,1754,287,471126,
01a057ed-ab33-71d1-a237-62f8bb161c52,subagent,/root/p1_full_branch_docs,gpt-5.6-terra,high,19,1444150,1264896,0,19107,4690,1463257,
01a057f2-fa57-7ab0-ba23-61bc92e7f406,subagent,/root/p1_full_branch_seed_review,gpt-5.6-sol,high,34,3075116,2943488,0,16955,7478,3092071,2.043007
01a057f3-b597-7490-9da0-5af13c5a0954,subagent,/root/p1_full_branch_seed_validation,gpt-5.6-terra,medium,44,1591746,1532928,0,5786,707,1597532,
01a057f8-3428-7390-ac0a-1bffebbd9632,subagent,/root/p1_seed_context_failure_analysis,gpt-5.6-sol,high,309,37123041,35951360,0,219105,50830,37342146,23.449368
01a05802-9509-7f81-ab66-cc316037e4f9,subagent,/root/p1_seed_context_test_fix,gpt-5.6-terra,medium,10,339480,317952,0,1986,203,341466,
01a05804-b784-78e1-aa78-dec94929b87c,subagent,/root/p1_seed_context_fix_review,gpt-5.6-sol,high,8,323386,264192,0,7484,3857,330870,0.492133
01a05832-79b9-7c70-b15b-59aeeabc2728,subagent,/root/p1_full_branch_ci_reconcile,gpt-5.6-luna,low,19,711928,668928,0,3071,270,714999,
01a05833-520b-7153-adcc-492a85a3a4b8,subagent,/root/p1_10_next_wave_architecture,gpt-5.6-sol,xhigh,118,13998426,13426176,0,58751,30629,14057177,8.83449
01a05848-3f21-7f43-8895-249994ba7e6f,subagent,/root/p1_10_next_wave_spec_review,gpt-5.6-sol,xhigh,162,19792091,18810368,0,96950,52800,19889041,13.390039
01a054ee-6f2f-71e0-8820-a66d3b0ca658,guardian,/guardian/auto-review,codex-auto-review,low,104,15745633,15161344,0,8118,2337,15753751,
01a0574e-d85c-7903-9fd4-5f97597d9d68,guardian,/guardian/auto-review,codex-auto-review,low,12,388040,323584,0,1117,368,389157,
01a05772-afce-7de3-bdb1-5b9b18ac1358,guardian,/guardian/auto-review,codex-auto-review,low,4,132733,94208,0,584,381,133317,
01a0578c-ee7c-7901-9fc3-109b4703bdfc,guardian,/guardian/auto-review,codex-auto-review,low,5,147113,109312,0,1082,785,148195,
01a05797-dee8-7c71-95fb-85263dab6f99,guardian,/guardian/auto-review,codex-auto-review,low,18,599464,543232,0,2219,498,601683,
01a057a9-adac-7132-8023-6815452593ce,guardian,/guardian/auto-review,codex-auto-review,low,1,24966,4864,0,380,316,25346,
01a057ab-c231-7b00-a60f-93a1db7b823f,guardian,/guardian/auto-review,codex-auto-review,low,1,19748,4864,0,211,141,19959,
01a057ae-8a90-7ec0-b33e-f964cb976aca,guardian,/guardian/auto-review,codex-auto-review,low,2,54482,29184,0,510,391,54992,
01a057b0-b1e2-77a1-a4b3-77b2790a34e2,guardian,/guardian/auto-review,codex-auto-review,low,2,46294,26112,0,218,182,46512,
01a057ba-1b09-75e0-ad7e-60c3ec9ea4a4,guardian,/guardian/auto-review,codex-auto-review,low,6,114580,91648,0,649,302,115229,
01a057bd-3dc4-73f0-a0d7-17e0dcbb793a,guardian,/guardian/auto-review,codex-auto-review,low,4,114855,82944,0,505,242,115360,
01a057c6-ae5f-7763-b86e-db7f58a555fa,guardian,/guardian/auto-review,codex-auto-review,low,2,44737,25088,0,505,392,45242,
01a057d4-227a-78d2-ba28-2e0165b0fbcc,guardian,/guardian/auto-review,codex-auto-review,low,5,83402,66304,0,432,143,83834,
01a057d6-a497-73b0-8993-75aceba8f84b,guardian,/guardian/auto-review,codex-auto-review,low,1,13659,4864,0,191,133,13850,
01a057de-e67c-7da1-ba7a-caaf29497dab,guardian,/guardian/auto-review,codex-auto-review,low,8,164547,136192,0,649,203,165196,
