thread_id,parent_thread_id,depth,agent_path,nickname,task_group,spawned_at,last_event_at,wall_span_seconds,turn_count,completed_turns,aborted_turns,incomplete_turns,active_seconds,models_and_responses,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,api_cost_equivalent_usd,log_bytes,log_lines
01a04fdb-5e9d-78d3-b94b-0607814005af,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_12_writer,Cicero,P1-12,2026-08-29T23:29:31.954000Z,2026-08-30T00:30:52.419000Z,3680.465,3,3,0,0,2970.273,gpt-5.6-terra/high:160,22072799,21708800,0,42011,10706,22114810,,7456663,983
01a04fdc-82b6-7791-b5c3-93329a27e8a1,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_queue_audit,Darwin,orchestration-discovery,2026-08-29T23:30:46.816000Z,2026-08-29T23:32:29.850000Z,103.034,1,1,0,0,102.898,gpt-5.6-luna/medium:10,461763,402944,0,2807,901,464570,,1006587,71
01a04fdf-5762-7420-9698-24cc806c717e,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_research,Lagrange,P1-10,2026-08-29T23:33:52.271000Z,2026-08-29T23:46:07.676000Z,735.405,1,1,0,0,735.277,gpt-5.6-sol/high:45,4763560,4577024,0,13240,4706,4776800,2.841754,3505189,281
01a04feb-8e61-70e1-a0c6-03772c45f3f8,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_11_inventory,Hume,P1-11,2026-08-29T23:47:12.945000Z,2026-08-30T00:04:00.496000Z,1007.551,1,1,0,0,1007.242,gpt-5.6-sol/high:64,8887175,8476672,0,21489,9613,8908664,5.462461,4519005,436
01a04ff0-de02-7e32-90d1-8f2c10e85525,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_12_review,Aquinas,P1-12,2026-08-29T23:53:00.859000Z,2026-08-30T00:32:03.080000Z,2342.221,3,3,0,0,658.519,gpt-5.6-sol/high:42,4587216,4309504,0,18025,7907,4605241,3.19515,2974180,286
01a04ffc-c51e-7831-b797-97174a6bf4db,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_03_writer,Mencius,P1-03,2026-08-30T00:06:00.956000Z,2026-08-30T01:01:40.292000Z,3339.336,4,4,0,0,1980.646,gpt-5.6-terra/high:103,13182818,12776704,0,61190,13906,13244008,,4504090,675
01a0500c-9a65-7310-a514-cfd245ca2493,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_03_review,Franklin,P1-03,2026-08-30T00:23:18.518000Z,2026-08-30T01:03:03.649000Z,2385.131,4,4,0,0,1172.786,gpt-5.6-sol/high:52,5639590,5448704,0,27061,12572,5666651,3.484246,3734329,440
01a0501a-343b-7ef0-bd74-3df5a3015e42,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_05_research,Confucius,P1-05,2026-08-30T00:38:09.903000Z,2026-08-30T00:52:23.200000Z,853.297,1,1,0,0,852.844,gpt-5.6-sol/high:48,5145937,4838400,0,20199,9165,5166136,3.569488,3170733,346
01a05028-35d3-7c81-ab85-7ececd5dd1d0,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_04_research,Bernoulli,P1-04,2026-08-30T00:53:27.945000Z,2026-08-30T01:07:24.445000Z,836.5,1,1,0,0,836.347,gpt-5.6-sol/high:41,4935749,4671232,0,20747,12497,4956496,3.341501,3596393,293
01a0516a-e5ef-7a22-ab72-57595df7a64c,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_12_ci,Hegel,P1-12,2026-08-30T06:45:55.467000Z,2026-08-30T06:47:04.287000Z,68.82,1,1,0,0,68.703,gpt-5.6-luna/low:6,141254,121344,0,1481,314,142735,,218453,48
01a0516b-a8b6-7f90-b22a-faac5f43d38d,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_03_ci,Descartes,P1-03,2026-08-30T06:46:45.381000Z,2026-08-30T06:49:07.717000Z,142.336,1,1,0,0,142.177,gpt-5.6-luna/low:13,332424,313088,0,2641,386,335065,,279237,86
01a0516f-1331-7e93-a8ac-7e0f386f3b46,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_wave_validation,Arendt,cross-cutting,2026-08-30T06:50:29.228000Z,2026-08-30T07:06:24.042000Z,954.814,2,2,0,0,534.59,gpt-5.6-terra/medium:32,2049269,1943552,0,11003,4844,2060272,,1779980,226
01a0516f-e489-7373-9260-e91ad4d6229a,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_12_dev_readiness,Volta,P1-12,2026-08-30T06:51:22.799000Z,2026-08-30T06:56:03.483000Z,280.684,2,2,0,0,254.797,gpt-5.6-luna/medium:22,1801290,1665536,0,7994,2110,1809284,,4241474,148
01a05175-38c5-7d63-8925-8202304c6416,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_12_live_validation,Kuhn,P1-12,2026-08-30T06:57:19.110000Z,2026-08-30T07:22:22.721000Z,1503.611,1,1,0,0,1501.583,gpt-5.6-sol/high:74,9774965,9537024,0,32693,8320,9807658,5.420434,5179999,484
01a05178-9d94-7791-880a-d75ba46a6dd8,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_test_gate_diagnosis,Euler,cross-cutting,2026-08-30T07:00:57.074000Z,2026-08-30T07:09:57.352000Z,540.278,1,1,0,0,538.527,gpt-5.6-sol/high:21,1048319,996096,0,8809,3390,1057128,0.78351,3164163,146
01a0518f-0df0-7440-a55c-08e4a66a36d3,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_12_closeout_writer,Jason,P1-12,2026-08-30T07:25:24.994000Z,2026-08-30T07:33:59.249000Z,514.255,2,2,0,0,210.444,gpt-5.6-terra/medium:17,798191,748288,0,6745,1586,804936,,748166,126
01a05191-58ab-71b1-ad40-4feb5199ef04,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_12_closeout_review,Einstein,P1-12,2026-08-30T07:27:55.199000Z,2026-08-30T07:35:18.684000Z,443.485,2,2,0,0,320.582,gpt-5.6-sol/high:20,1382847,1300480,0,7814,3115,1390661,1.00594,2391934,152
01a05192-0cdc-71a3-adb8-5b19e6dd1883,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_live_metadata,Wegener,P1-10,2026-08-30T07:28:41.392000Z,2026-08-30T09:51:00.296000Z,8538.904,3,3,0,0,1400.392,gpt-5.6-sol/high:56,6972001,6595584,0,43413,12503,7015414,5.012162,3484613,411
01a05199-0506-7ec1-bb90-9b932e7fd618,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_12_closeout_ci,Schrodinger,P1-12,2026-08-30T07:36:18.154000Z,2026-08-30T07:37:56.955000Z,98.801,1,1,0,0,98.696,gpt-5.6-luna/low:10,312521,273920,0,2184,404,314705,,511575,69
01a0519c-1647-7d33-bb3e-fb77b3e1611a,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/main_3a2ba35_ci,Plato,orchestration-gates,2026-08-30T07:39:39.088000Z,2026-08-30T07:43:52.991000Z,253.903,1,1,0,0,253.783,gpt-5.6-luna/low:18,741069,697856,0,2496,298,743565,,911706,110
01a0519e-d5c0-7b30-9df0-ae89a2d2a7f0,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_contract_writer,Dirac,P1-10,2026-08-30T07:42:39.181000Z,2026-08-30T08:17:14.565000Z,2075.384,2,2,0,0,1459.332,gpt-5.6-sol/high:70,9656611,9413120,0,57627,13107,9714238,5.891752,6560621,500
01a051ad-9427-7490-a475-ca254333f7d5,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_contract_review,Noether,P1-10,2026-08-30T07:58:45.437000Z,2026-08-30T08:21:42.569000Z,1377.132,2,2,0,0,604.702,gpt-5.6-sol/high:35,4231442,4048128,0,19641,10552,4251083,2.745327,3069588,256
01a051bf-bf44-7413-8565-67407f781466,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_quarantine_writer,Ramanujan,P1-10,2026-08-30T08:18:36.131000Z,2026-08-30T08:26:01.071000Z,444.94,1,1,0,0,444.815,gpt-5.6-terra/high:30,2709617,2588160,0,13192,4034,2722809,,1876069,201
01a051c6-f21b-7653-a653-d116b24721ae,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_quarantine_review,Archimedes,P1-10,2026-08-30T08:26:27.895000Z,2026-08-30T08:29:55.991000Z,208.096,1,1,0,0,207.977,gpt-5.6-sol/high:17,1134043,1056512,0,6500,2367,1140543,0.862729,1249045,120
01a051cb-3677-70d2-ab5f-ee304ece39ac,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_contract_ci,Kepler,P1-10,2026-08-30T08:31:07.530000Z,2026-08-30T08:31:58.564000Z,51.034,1,1,0,0,50.938,gpt-5.6-luna/low:5,113686,104192,0,1101,219,114787,,203942,42
01a051cb-4ec0-75b2-965e-78580e5a3e91,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_quarantine_ci,Hilbert,P1-10,2026-08-30T08:31:13.856000Z,2026-08-30T08:32:59.004000Z,105.148,1,1,0,0,105.033,gpt-5.6-luna/low:7,180422,166144,0,2595,482,183017,,271258,51
01a051cd-0f25-74b0-92db-514f81249226,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/main_ae8fc465_ci,Helmholtz,orchestration-gates,2026-08-30T08:33:08.571000Z,2026-08-30T08:37:45.489000Z,276.918,2,2,0,0,265.215,gpt-5.6-luna/low:17,529193,483072,0,3866,759,533059,,782450,113
01a051d2-61a4-7963-a51d-def967a9613a,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_typed_foundation,Boyle,P1-10,2026-08-30T08:38:57.318000Z,2026-08-30T09:11:15.361000Z,1938.043,2,2,0,0,1105.064,gpt-5.6-terra/high:59,5386215,5233920,0,33636,7100,5419851,,2613605,378
01a051d2-f763-7dd1-b73e-07928ea07f38,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_boundary_monitor,Laplace,P1-10,2026-08-30T08:39:35.682000Z,2026-08-30T09:17:46.286000Z,2290.604,3,3,0,0,520.999,gpt-5.6-luna/low:29,797338,764672,0,4467,1240,801805,,344351,186
01a051df-ba0e-7613-94ed-42dfe4e392e9,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_typed_foundation_review,Raman,P1-10,2026-08-30T08:53:31.930000Z,2026-08-30T09:14:49.115000Z,1277.185,2,2,0,0,942.908,gpt-5.6-sol/high:52,5332404,5161984,0,25154,12242,5357558,3.249554,4989662,351
01a051f4-1aec-75c0-a1f4-d849db02e244,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_typed_foundation_ci,Dalton,P1-10,2026-08-30T09:15:47.531000Z,2026-08-30T09:17:20.810000Z,93.279,1,1,0,0,93.151,gpt-5.6-luna/low:8,208896,193536,0,2124,275,211020,,254837,57
01a051f7-1420-7b40-8dcb-554417c60154,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/main_18ba841_ci,Gibbs,orchestration-gates,2026-08-30T09:19:02.317000Z,2026-08-30T09:24:18.356000Z,316.039,2,2,0,0,291.948,gpt-5.6-luna/low:15,539474,499968,0,2780,323,542254,,879971,98
01a051f8-91c4-7403-b092-dac010ac3570,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_persistence,Aristotle,P1-10,2026-08-30T09:20:40.035000Z,2026-08-30T10:08:22.089000Z,2862.054,2,2,0,0,2171.023,gpt-5.6-terra/high:140,17718795,17349632,0,52085,13662,17770880,,6061898,878
01a051fc-cf3e-7a80-b476-76d96f8279ce,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_route_audit,Feynman,P1-10,2026-08-30T09:25:17.981000Z,2026-08-30T09:39:03.135000Z,825.154,1,1,0,0,825.044,gpt-5.6-sol/high:55,6539831,6315264,0,20156,9079,6559987,3.827494,4443580,361
01a05210-415c-7600-a230-2581f06c1f51,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_persistence_review,Ohm,P1-10,2026-08-30T09:46:32.535000Z,2026-08-30T11:17:10.087000Z,5437.552,3,3,0,0,1427.977,gpt-5.6-sol/high:85,9102675,8736512,0,31724,14689,9134399,5.593737,7429969,570
01a05215-90c8-72b3-a397-1031b6bc8ec7,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_rules_contract,Fermat,P1-10,2026-08-30T09:52:20.301000Z,2026-08-30T10:09:54.782000Z,1054.481,2,2,0,0,631.985,gpt-5.6-sol/high:29,2464741,2359040,0,25783,7881,2490524,1.88208,1664254,216
01a0521d-7991-7af3-bfa7-e73195478698,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_rules_contract_review,Boole,P1-10,2026-08-30T10:00:58.772000Z,2026-08-30T10:11:37.062000Z,638.29,2,2,0,0,449.607,gpt-5.6-sol/high:15,1035936,939264,0,17664,10925,1053600,1.115674,1882009,148
01a05225-639d-74e3-a522-d488260936a4,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_persistence_hardening,Beauvoir,P1-10,2026-08-30T10:09:37.344000Z,2026-08-30T11:12:47.866000Z,3790.522,2,2,0,0,2929.231,gpt-5.6-sol/high:155,18496819,17904896,0,52550,16912,18549369,10.58065,7494487,1009
01a0522b-38dc-74a2-a565-1d59a24f23db,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_rules_contract_ci,Mendel,P1-10,2026-08-30T10:15:59.591000Z,2026-08-30T12:22:36.059000Z,7596.468,6,6,0,0,1019.687,gpt-5.6-luna/low:66,3135022,3052032,0,10480,847,3145502,,6271217,379
01a05233-5f28-7363-a354-bd3e9c185c53,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_rules_validator,Nash,P1-10,2026-08-30T10:24:53.797000Z,2026-08-30T11:21:46.741000Z,3412.944,4,4,0,0,2771.742,gpt-5.6-terra/high:148,20936845,20657152,0,44914,10293,20981759,,3908168,876
01a05251-fc47-7533-95f3-2f4d934fd325,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_rules_validator_review,Socrates,P1-10,2026-08-30T10:58:20.013000Z,2026-08-30T12:15:52.575000Z,4652.562,3,3,0,0,1613.781,gpt-5.6-sol/high:93,10250987,9813760,0,37098,15087,10288085,6.416372,5406705,646
01a0526f-ca9a-7d71-92e3-2e4960f3a96a,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_rules_publication_hardening,Avicenna,P1-10,2026-08-30T11:30:53.350000Z,2026-08-30T12:04:55.303000Z,2041.953,1,1,0,0,2041.872,gpt-5.6-sol/high:120,16375794,16016384,0,49079,9974,16424873,8.825774,4880848,743
01a05270-6972-7ec2-908b-6a30fa7836ce,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_bonus_schedule_inventory,Leibniz,cross-cutting,2026-08-30T11:31:34.012000Z,2026-08-30T11:34:27.216000Z,173.204,1,1,0,0,173.098,gpt-5.6-luna/medium:16,1048104,956416,0,4954,572,1053058,,1639716,108
01a0529f-369f-7d63-bce0-e62165a7c7cc,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_runtime_successor_audit,Copernicus,P1-10,2026-08-30T12:22:41.221000Z,2026-08-30T12:37:29.572000Z,888.351,1,1,0,0,888.226,gpt-5.6-sol/high:67,7309784,6984960,0,21373,7018,7331157,4.52074,6984972,444
01a052ae-9909-7593-aa41-dba625d7efd4,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_manifest_lifecycle_adr,Carver,P1-10,2026-08-30T12:39:29.415000Z,2026-08-30T13:07:45.927000Z,1696.512,3,3,0,0,1044.184,gpt-5.6-sol/high:53,4754653,4621056,0,33912,8476,4788565,3.06105,1926806,359
01a052ae-f8f0-79e3-80a2-8990f0040b1c,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_runtime_copy_removal,Godel,P1-10,2026-08-30T12:39:53.979000Z,2026-08-30T13:38:23.105000Z,3509.126,2,2,0,0,2891.054,gpt-5.6-terra/high:147,20069059,19506432,0,49836,14965,20118895,,7759639,960
01a052b7-1ef8-7a23-9e87-2ce603e5f856,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_manifest_lifecycle_adr_review,McClintock,P1-10,2026-08-30T12:48:49.903000Z,2026-08-30T13:09:03.957000Z,1214.054,3,3,0,0,642.773,gpt-5.6-sol/high:32,2562264,2445312,0,15331,7529,2577595,1.752553,2014988,239
01a052cb-dfbb-7db1-891d-b6f3bdbe841f,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_manifest_lifecycle_adr_ci,Tesla,P1-10,2026-08-30T13:11:31.827000Z,2026-08-30T13:17:33.482000Z,361.655,1,1,0,0,298.071,gpt-5.6-luna/low:15,400532,378112,0,2800,324,403332,,308443,97
01a052d2-f7a8-7721-8c19-925f285bad34,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_runtime_copy_removal_review,Gauss,P1-10,2026-08-30T13:19:12.943000Z,2026-08-30T13:42:55.550000Z,1422.607,2,2,0,0,942.222,gpt-5.6-sol/high:59,6971838,6785280,0,16316,4659,6988154,3.786664,6220425,460
01a052d3-2e70-7b00-8d49-355bc9386fc1,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/main_252c2e2_ci,Parfit,orchestration-gates,2026-08-30T13:19:27.002000Z,2026-08-30T13:22:27.225000Z,180.223,1,1,0,0,180.1,gpt-5.6-luna/low:9,266866,238336,0,1981,233,268847,,591035,68
01a052e9-73aa-70c1-ac94-bf8aa2af8ce5,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/p1_10_runtime_copy_removal_ci,Bohr,P1-10,2026-08-30T13:43:46.510000Z,2026-08-30T13:45:03.279000Z,76.769,1,1,0,0,76.651,gpt-5.6-luna/low:8,249945,229376,0,1687,260,251632,,370874,60
01a052eb-84ab-7fc2-b4ef-1c6c76470216,01a04fd8-ffcf-7263-944f-98d1bc53c645,1,/root/main_2b91958_ci,Popper,orchestration-gates,2026-08-30T13:46:01.914000Z,2026-08-30T13:50:22.740000Z,260.826,1,1,0,0,260.713,gpt-5.6-luna/low:16,512530,476160,0,2570,231,515100,,1043470,100
