thread_id,kind,agent_path,model,reasoning_effort,responses,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,api_cost_equivalent_usd
01a04fd8-ffcf-7263-944f-98d1bc53c645,root,/root,gpt-5.6-sol,xhigh,1725,248125022,243531520,0,446029,93141,248571051,124.707196
01a04fdb-5e9d-78d3-b94b-0607814005af,subagent,/root/p1_12_writer,gpt-5.6-terra,high,160,22072799,21708800,0,42011,10706,22114810,
01a04fdc-82b6-7791-b5c3-93329a27e8a1,subagent,/root/p1_queue_audit,gpt-5.6-luna,medium,10,461763,402944,0,2807,901,464570,
01a04fdf-5762-7420-9698-24cc806c717e,subagent,/root/p1_10_research,gpt-5.6-sol,high,45,4763560,4577024,0,13240,4706,4776800,2.841754
01a04feb-8e61-70e1-a0c6-03772c45f3f8,subagent,/root/p1_11_inventory,gpt-5.6-sol,high,64,8887175,8476672,0,21489,9613,8908664,5.462461
01a04ff0-de02-7e32-90d1-8f2c10e85525,subagent,/root/p1_12_review,gpt-5.6-sol,high,42,4587216,4309504,0,18025,7907,4605241,3.19515
01a04ffc-c51e-7831-b797-97174a6bf4db,subagent,/root/p1_03_writer,gpt-5.6-terra,high,103,13182818,12776704,0,61190,13906,13244008,
01a0500c-9a65-7310-a514-cfd245ca2493,subagent,/root/p1_03_review,gpt-5.6-sol,high,52,5639590,5448704,0,27061,12572,5666651,3.484246
01a0501a-343b-7ef0-bd74-3df5a3015e42,subagent,/root/p1_05_research,gpt-5.6-sol,high,48,5145937,4838400,0,20199,9165,5166136,3.569488
01a05028-35d3-7c81-ab85-7ececd5dd1d0,subagent,/root/p1_04_research,gpt-5.6-sol,high,41,4935749,4671232,0,20747,12497,4956496,3.341501
01a0516a-e5ef-7a22-ab72-57595df7a64c,subagent,/root/p1_12_ci,gpt-5.6-luna,low,6,141254,121344,0,1481,314,142735,
01a0516b-a8b6-7f90-b22a-faac5f43d38d,subagent,/root/p1_03_ci,gpt-5.6-luna,low,13,332424,313088,0,2641,386,335065,
01a0516f-1331-7e93-a8ac-7e0f386f3b46,subagent,/root/p1_wave_validation,gpt-5.6-terra,medium,32,2049269,1943552,0,11003,4844,2060272,
01a0516f-e489-7373-9260-e91ad4d6229a,subagent,/root/p1_12_dev_readiness,gpt-5.6-luna,medium,22,1801290,1665536,0,7994,2110,1809284,
01a05175-38c5-7d63-8925-8202304c6416,subagent,/root/p1_12_live_validation,gpt-5.6-sol,high,74,9774965,9537024,0,32693,8320,9807658,5.420434
01a05178-9d94-7791-880a-d75ba46a6dd8,subagent,/root/p1_test_gate_diagnosis,gpt-5.6-sol,high,21,1048319,996096,0,8809,3390,1057128,0.78351
01a0518f-0df0-7440-a55c-08e4a66a36d3,subagent,/root/p1_12_closeout_writer,gpt-5.6-terra,medium,17,798191,748288,0,6745,1586,804936,
01a05191-58ab-71b1-ad40-4feb5199ef04,subagent,/root/p1_12_closeout_review,gpt-5.6-sol,high,20,1382847,1300480,0,7814,3115,1390661,1.00594
01a05192-0cdc-71a3-adb8-5b19e6dd1883,subagent,/root/p1_10_live_metadata,gpt-5.6-sol,high,56,6972001,6595584,0,43413,12503,7015414,5.012162
01a05199-0506-7ec1-bb90-9b932e7fd618,subagent,/root/p1_12_closeout_ci,gpt-5.6-luna,low,10,312521,273920,0,2184,404,314705,
01a0519c-1647-7d33-bb3e-fb77b3e1611a,subagent,/root/main_3a2ba35_ci,gpt-5.6-luna,low,18,741069,697856,0,2496,298,743565,
01a0519e-d5c0-7b30-9df0-ae89a2d2a7f0,subagent,/root/p1_10_contract_writer,gpt-5.6-sol,high,70,9656611,9413120,0,57627,13107,9714238,5.891752
01a051ad-9427-7490-a475-ca254333f7d5,subagent,/root/p1_10_contract_review,gpt-5.6-sol,high,35,4231442,4048128,0,19641,10552,4251083,2.745327
01a051bf-bf44-7413-8565-67407f781466,subagent,/root/p1_10_quarantine_writer,gpt-5.6-terra,high,30,2709617,2588160,0,13192,4034,2722809,
01a051c6-f21b-7653-a653-d116b24721ae,subagent,/root/p1_10_quarantine_review,gpt-5.6-sol,high,17,1134043,1056512,0,6500,2367,1140543,0.862729
01a051cb-3677-70d2-ab5f-ee304ece39ac,subagent,/root/p1_10_contract_ci,gpt-5.6-luna,low,5,113686,104192,0,1101,219,114787,
01a051cb-4ec0-75b2-965e-78580e5a3e91,subagent,/root/p1_10_quarantine_ci,gpt-5.6-luna,low,7,180422,166144,0,2595,482,183017,
01a051cd-0f25-74b0-92db-514f81249226,subagent,/root/main_ae8fc465_ci,gpt-5.6-luna,low,17,529193,483072,0,3866,759,533059,
01a051d2-61a4-7963-a51d-def967a9613a,subagent,/root/p1_10_typed_foundation,gpt-5.6-terra,high,59,5386215,5233920,0,33636,7100,5419851,
01a051d2-f763-7dd1-b73e-07928ea07f38,subagent,/root/p1_10_boundary_monitor,gpt-5.6-luna,low,29,797338,764672,0,4467,1240,801805,
01a051df-ba0e-7613-94ed-42dfe4e392e9,subagent,/root/p1_10_typed_foundation_review,gpt-5.6-sol,high,52,5332404,5161984,0,25154,12242,5357558,3.249554
01a051f4-1aec-75c0-a1f4-d849db02e244,subagent,/root/p1_10_typed_foundation_ci,gpt-5.6-luna,low,8,208896,193536,0,2124,275,211020,
01a051f7-1420-7b40-8dcb-554417c60154,subagent,/root/main_18ba841_ci,gpt-5.6-luna,low,15,539474,499968,0,2780,323,542254,
01a051f8-91c4-7403-b092-dac010ac3570,subagent,/root/p1_10_persistence,gpt-5.6-terra,high,140,17718795,17349632,0,52085,13662,17770880,
01a051fc-cf3e-7a80-b476-76d96f8279ce,subagent,/root/p1_10_route_audit,gpt-5.6-sol,high,55,6539831,6315264,0,20156,9079,6559987,3.827494
01a05210-415c-7600-a230-2581f06c1f51,subagent,/root/p1_10_persistence_review,gpt-5.6-sol,high,85,9102675,8736512,0,31724,14689,9134399,5.593737
01a05215-90c8-72b3-a397-1031b6bc8ec7,subagent,/root/p1_10_rules_contract,gpt-5.6-sol,high,29,2464741,2359040,0,25783,7881,2490524,1.88208
01a0521d-7991-7af3-bfa7-e73195478698,subagent,/root/p1_10_rules_contract_review,gpt-5.6-sol,high,15,1035936,939264,0,17664,10925,1053600,1.115674
01a05225-639d-74e3-a522-d488260936a4,subagent,/root/p1_10_persistence_hardening,gpt-5.6-sol,high,155,18496819,17904896,0,52550,16912,18549369,10.58065
01a0522b-38dc-74a2-a565-1d59a24f23db,subagent,/root/p1_10_rules_contract_ci,gpt-5.6-luna,low,66,3135022,3052032,0,10480,847,3145502,
01a05233-5f28-7363-a354-bd3e9c185c53,subagent,/root/p1_10_rules_validator,gpt-5.6-terra,high,148,20936845,20657152,0,44914,10293,20981759,
01a05251-fc47-7533-95f3-2f4d934fd325,subagent,/root/p1_10_rules_validator_review,gpt-5.6-sol,high,93,10250987,9813760,0,37098,15087,10288085,6.416372
01a0526f-ca9a-7d71-92e3-2e4960f3a96a,subagent,/root/p1_10_rules_publication_hardening,gpt-5.6-sol,high,120,16375794,16016384,0,49079,9974,16424873,8.825774
01a05270-6972-7ec2-908b-6a30fa7836ce,subagent,/root/p1_bonus_schedule_inventory,gpt-5.6-luna,medium,16,1048104,956416,0,4954,572,1053058,
01a0529f-369f-7d63-bce0-e62165a7c7cc,subagent,/root/p1_10_runtime_successor_audit,gpt-5.6-sol,high,67,7309784,6984960,0,21373,7018,7331157,4.52074
01a052ae-9909-7593-aa41-dba625d7efd4,subagent,/root/p1_10_manifest_lifecycle_adr,gpt-5.6-sol,high,53,4754653,4621056,0,33912,8476,4788565,3.06105
01a052ae-f8f0-79e3-80a2-8990f0040b1c,subagent,/root/p1_10_runtime_copy_removal,gpt-5.6-terra,high,147,20069059,19506432,0,49836,14965,20118895,
01a052b7-1ef8-7a23-9e87-2ce603e5f856,subagent,/root/p1_10_manifest_lifecycle_adr_review,gpt-5.6-sol,high,32,2562264,2445312,0,15331,7529,2577595,1.752553
01a052cb-dfbb-7db1-891d-b6f3bdbe841f,subagent,/root/p1_10_manifest_lifecycle_adr_ci,gpt-5.6-luna,low,15,400532,378112,0,2800,324,403332,
01a052d2-f7a8-7721-8c19-925f285bad34,subagent,/root/p1_10_runtime_copy_removal_review,gpt-5.6-sol,high,59,6971838,6785280,0,16316,4659,6988154,3.786664
01a052d3-2e70-7b00-8d49-355bc9386fc1,subagent,/root/main_252c2e2_ci,gpt-5.6-luna,low,9,266866,238336,0,1981,233,268847,
01a052e9-73aa-70c1-ac94-bf8aa2af8ce5,subagent,/root/p1_10_runtime_copy_removal_ci,gpt-5.6-luna,low,8,249945,229376,0,1687,260,251632,
01a052eb-84ab-7fc2-b4ef-1c6c76470216,subagent,/root/main_2b91958_ci,gpt-5.6-luna,low,16,512530,476160,0,2570,231,515100,
01a052ec-d60c-7150-94cc-604f059a665d,subagent,/root/p1_10_typed_context_core,gpt-5.6-terra,high,68,6784720,6606848,0,44283,4837,6829003,
01a052f0-4db4-7602-b5e0-e1f4bf6e995f,subagent,/root/p1_10_fixture_identity_evidence,gpt-5.6-sol,high,41,3948234,3793664,0,20534,7124,3968768,2.546426
01a052f6-045d-7753-bea9-fba0b7f1c434,subagent,/root/p1_10_typed_context_core_review,gpt-5.6-sol,high,43,4371049,4219136,0,23500,11879,4394549,2.765306
01a052fb-e34c-7a43-9ffa-90b826f83eb1,subagent,/root/p1_10_fixture_id_join,gpt-5.6-terra,high,168,21963761,21407744,0,74409,22295,22038170,
01a0530d-c7aa-7010-8439-c7dbbd20dc3a,subagent,/root/p1_10_fixture_id_join_review,gpt-5.6-sol,high,109,11771782,11373312,0,47776,21514,11819558,7.098725
01a05311-f1d0-7ae3-8e02-6a3618d59d6d,subagent,/root/p1_10_typed_context_core_ci,gpt-5.6-luna,low,11,251637,237824,0,2598,353,254235,
01a05315-9082-7900-a85b-a19aec449aa5,subagent,/root/main_86cb5a5_ci,gpt-5.6-luna,low,15,528397,495872,0,2624,291,531021,
01a05321-cd68-75d0-ba96-9112d8428a10,subagent,/root/p1_10_typed_context_firebase,gpt-5.6-terra,high,187,26954674,26418432,0,62512,15474,27017186,
01a05332-864c-7650-ad66-2573d9a1f985,subagent,/root/p1_10_typed_context_firebase_review,gpt-5.6-sol,high,124,13022285,12649472,0,39045,16737,13061330,7.331941
01a0534a-6bb1-7090-8d9f-21c593b3c9c0,subagent,/root/p1_10_fixture_id_join_ci,gpt-5.6-luna,low,10,311792,288256,0,2575,338,314367,
01a0534d-e87c-7903-b42d-bccb986de2b4,subagent,/root/main_b0fd6b6_ci,gpt-5.6-luna,low,13,407496,375552,0,2773,231,410269,
01a05364-b37f-7a82-b7c1-37d58d6012e9,subagent,/root/p1_10_typed_context_firebase_ci,gpt-5.6-luna,low,7,165303,154880,0,1910,449,167213,
01a05367-06fc-7e81-ae96-5411dfc5bd85,subagent,/root/main_d515726_ci,gpt-5.6-luna,low,12,443702,408576,0,2230,240,445932,
01a05367-94b5-7a31-8559-268cc848521c,subagent,/root/p1_10_post_firebase_runtime_audit,gpt-5.6-sol,high,47,6593391,6319360,0,15309,5577,6608700,3.930048
01a05382-a65c-7181-99a6-906213904816,subagent,/root/p1_10_typed_context_firebase_fix_ci,gpt-5.6-luna,low,5,111714,104192,0,1311,214,113025,
01a05384-d4c0-7be3-8b81-1d2b1fb77f23,subagent,/root/main_25fbb56_ci,gpt-5.6-luna,low,12,315489,291840,0,2285,301,317774,
01a0538e-2b90-7130-a45b-1521b8997ad5,subagent,/root/p1_10_publication_binding_bridge,gpt-5.6-terra,high,115,14925830,14690560,0,39406,11561,14965236,
01a0538e-96ff-7d90-a155-ea3e27237372,subagent,/root/p1_10_random_match_quarantine,gpt-5.6-terra,medium,50,3464623,3369472,0,9980,2207,3474603,
01a0539d-8006-7b20-a4ba-bb24f73e54c7,subagent,/root/p1_10_random_match_quarantine_review,gpt-5.6-sol,high,22,1460208,1302016,0,8321,3220,1468529,1.319994
01a053a1-a160-7f23-a878-2085c80d9c30,subagent,/root/p1_10_publication_binding_bridge_review,gpt-5.6-sol,high,64,8505247,8287232,0,21825,9675,8527072,4.623453
01a053a5-2929-7772-bc0f-00b2657f9aa8,subagent,/root/p1_10_random_match_quarantine_ci,gpt-5.6-luna,low,10,341888,312832,0,2303,268,344191,
01a053a8-f326-76d3-9c2f-2a8b87a3ed4b,subagent,/root/main_05d38e9_ci,gpt-5.6-luna,low,17,780362,730880,0,3402,213,783764,
01a053c5-8da0-7931-91bf-a50f85b17312,subagent,/root/p1_10_publication_binding_bridge_ci,gpt-5.6-luna,low,8,276404,249856,0,2288,229,278692,
01a053c8-a326-7fa2-b6fa-6baf9cb6c1fb,subagent,/root/main_04a6d85_ci,gpt-5.6-luna,low,17,674061,629504,0,2660,331,676721,
01a053d0-0131-70d0-aeb3-1779fcb8c58a,subagent,/root/p1_10_typed_context_resolver,gpt-5.6-terra,high,52,3847656,3744768,0,21070,3680,3868726,
01a053da-1c27-7f50-875d-4ff050412a34,subagent,/root/p1_10_typed_context_resolver_review,gpt-5.6-sol,high,37,3099211,2973440,0,13897,7629,3113108,1.9704
01a04fd9-02a8-7f40-9025-8bf69ed78d85,guardian,/guardian/auto-review,codex-auto-review,low,100,14763395,13837312,0,8010,2188,14771405,
01a04fdb-6037-7a92-ac36-ac5bddabfe42,guardian,/guardian/auto-review,codex-auto-review,low,24,1174313,1037312,0,1925,363,1176238,
01a04ffc-c719-7b91-8809-c1cd37741afe,guardian,/guardian/auto-review,codex-auto-review,low,6,153628,117248,0,727,369,154355,
01a05018-abf7-73f3-a387-1371683b6cf3,guardian,/guardian/auto-review,codex-auto-review,low,13,489946,428800,0,1268,448,491214,
01a0516a-e70b-77e2-b10e-93e14564971e,guardian,/guardian/auto-review,codex-auto-review,low,3,41430,28928,0,332,231,41762,
01a0516b-aaac-7d81-bd4f-38fd624d69ad,guardian,/guardian/auto-review,codex-auto-review,low,11,222403,183552,0,880,284,223283,
01a0516f-14f3-75d0-be47-85436eed6cc3,guardian,/guardian/auto-review,codex-auto-review,low,8,236183,204800,0,829,303,237012,
01a0516f-e61a-7f61-8b6a-a2af3bd34e83,guardian,/guardian/auto-review,codex-auto-review,low,1,22020,11008,0,175,112,22195,
01a05175-5e3c-7913-855f-090597cf30d1,guardian,/guardian/auto-review,codex-auto-review,low,19,1075839,985344,0,2076,902,1077915,
01a05178-b15b-7120-9e10-723bd2a80c22,guardian,/guardian/auto-review,codex-auto-review,low,2,35072,25088,0,351,223,35423,
01a0518f-0f80-7ad1-95d8-c000ba126cdd,guardian,/guardian/auto-review,codex-auto-review,low,2,38546,27136,0,306,167,38852,
01a05192-0e79-7bf1-8740-35ef303f3a3e,guardian,/guardian/auto-review,codex-auto-review,low,5,138590,113408,0,587,311,139177,
01a05199-0715-7523-9acd-18b5c32a5570,guardian,/guardian/auto-review,codex-auto-review,low,5,84455,71424,0,412,126,84867,
01a0519c-17bb-71c1-b93a-7e1481677792,guardian,/guardian/auto-review,codex-auto-review,low,11,238080,211200,0,928,277,239008,
01a0519e-d737-7150-ae7b-5b626e85d489,guardian,/guardian/auto-review,codex-auto-review,low,5,157466,115456,0,459,156,157925,
01a051bf-c13d-7243-b8e5-e06bd34a801e,guardian,/guardian/auto-review,codex-auto-review,low,5,126528,101120,0,544,248,127072,
01a051cb-37e3-7061-8c3c-f340595d184e,guardian,/guardian/auto-review,codex-auto-review,low,2,24575,15872,0,266,145,24841,
01a051cb-50c4-78f0-b9d7-20ad7984f596,guardian,/guardian/auto-review,codex-auto-review,low,5,76802,61184,0,468,184,77270,
01a051cd-10d4-73c2-b91d-b15f236ba119,guardian,/guardian/auto-review,codex-auto-review,low,12,227061,191488,0,1088,410,228149,
01a051d2-6310-72e2-87aa-85d71b602f2a,guardian,/guardian/auto-review,codex-auto-review,low,12,434198,379904,0,1050,291,435248,
01a051d2-f913-7253-a0d0-a2f4df3ed46d,guardian,/guardian/auto-review,codex-auto-review,low,10,164085,142848,0,923,326,165008,
01a051df-bb6e-7b50-8afa-0f51e9785bb3,guardian,/guardian/auto-review,codex-auto-review,low,7,227176,184576,0,555,119,227731,
01a051f4-1cd8-7b13-a2dc-ff79b86243f0,guardian,/guardian/auto-review,codex-auto-review,low,5,77131,61184,0,521,211,77652,
01a051f5-386a-7601-9a43-e0b397fee071,guardian,/guardian/auto-review,codex-auto-review,low,3,45157,32000,0,286,106,45443,
01a051f7-15bc-76a3-a9aa-4cd79fce5a75,guardian,/guardian/auto-review,codex-auto-review,low,4,68620,49152,0,379,202,68999,
01a051f8-9354-7b03-8fa9-1e95ded91102,guardian,/guardian/auto-review,codex-auto-review,low,18,768312,702976,0,1316,300,769628,
01a051fc-d10f-7391-8439-d31101cc638a,guardian,/guardian/auto-review,codex-auto-review,low,13,461670,405248,0,1207,459,462877,
01a0520a-4a11-7b91-82cd-d29bb97d72dc,guardian,/guardian/auto-review,codex-auto-review,low,7,215350,178432,0,663,234,216013,
01a05210-43fa-75e2-b8a6-968f761dcf40,guardian,/guardian/auto-review,codex-auto-review,low,2,51116,9728,0,489,290,51605,
