thread_id,parent_thread_id,depth,agent_path,nickname,task_group,spawned_at,last_event_at,wall_span_seconds,turn_count,completed_turns,aborted_turns,incomplete_turns,active_seconds,models_and_responses,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,api_cost_equivalent_usd,log_bytes,log_lines
01a06e7a-125a-7dc0-a992-4d144705c30e,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/urgent_architecture,Pauli,architecture,2026-09-04T22:11:29.157000Z,2026-09-05T14:15:26.015000Z,57836.858,17,17,0,0,6807.772,gpt-5.6-sol/xhigh:291,35364579,33274368,0,224898,106723,35589477,26.168551,26297496,2562
01a06e7a-bafd-7083-9317-d4fa3adcc1c2,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/p1_inventory,Helmholtz,P1-planning,2026-09-04T22:12:12.425000Z,2026-09-04T22:24:12.918000Z,720.493,2,2,0,0,126.382,gpt-5.6-terra/medium:12,745964,601088,0,4188,971,750152,0.460226,1386762,104
01a06e8f-6fba-7082-9df9-f425e500d2ef,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/restoration_spec_review,Laplace,history-restoration,2026-09-04T22:34:49.293000Z,2026-09-05T00:17:43.256000Z,6173.963,7,7,0,0,2347.792,gpt-5.6-sol/xhigh:139,17032689,16114816,0,73691,44642,17106380,11.591238,11654393,1189
01a06e95-2f9b-7543-be40-46b6a7cd9490,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/source_repair,Lovelace,history-restoration,2026-09-04T22:41:06.137000Z,2026-09-05T14:36:39.173000Z,57333.036,11,11,0,0,7426.327,gpt-5.6-terra/high:437,54311901,52794112,0,184417,44330,54496318,15.807404,35905199,3369
01a06e95-7721-77b0-b808-f479d0d2c976,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/cl_spec_review,Lorentz,champions-league-bonus,2026-09-04T22:41:24.743000Z,2026-09-05T14:23:05.105000Z,56500.362,22,22,0,0,6482.891,gpt-5.6-sol/xhigh:357,43405915,40923392,0,212606,137849,43618521,30.551569,31806134,3056
01a06e97-b0a4-7543-8278-a450011cc370,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/cl_prompt_preflight,Avicenna,champions-league-bonus,2026-09-04T22:43:50.193000Z,2026-09-05T10:03:36.025000Z,40785.832,19,19,0,0,1354.106,gpt-5.6-luna/low:104,8942848,8640768,0,16318,1662,8959166,0.252813,2480722,723
01a06eb5-7a23-78e1-966d-4c9781a41f2d,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/cl_live_preflight,Socrates,champions-league-bonus,2026-09-04T23:16:22.341000Z,2026-09-04T23:24:39.360000Z,497.019,1,1,0,0,496.816,gpt-5.6-terra/high:29,2358644,2262784,0,19250,6219,2377894,0.875277,4003388,231
01a06ed0-93c1-73d0-ba0c-e6f0daed4f1e,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/cl_prompt_draft,Singer,champions-league-bonus,2026-09-04T23:45:58.466000Z,2026-09-04T23:51:32.369000Z,333.903,1,1,0,0,333.772,gpt-5.6-sol/high:30,2699488,2561536,0,10120,3702,2709608,1.778822,2214269,229
01a06ee1-1093-7bd1-8564-45ae8d5b9441,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/cl_bonus_implementation,Confucius,champions-league-bonus,2026-09-05T00:03:58.896000Z,2026-09-05T00:33:18.279000Z,1759.383,4,4,0,0,1043.112,gpt-5.6-terra/high:54,8754860,8517120,0,30975,5946,8785835,2.550604,9892597,463
01a06efd-8952-7032-9091-dfcfe66b8c0d,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/cl_completion,Hooke,champions-league-bonus,2026-09-05T00:35:04.821000Z,2026-09-05T10:45:26.126000Z,36621.305,15,15,0,0,16911.73,gpt-5.6-sol/high:964,133644420,131462144,0,386695,110026,134031115,69.047862,41621605,7104
01a06f50-c161-7523-877d-50245f40df71,01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,1,/root/natural_watch,Averroes,production-validation,2026-09-05T02:05:58.655000Z,2026-09-05T14:42:36.801000Z,45398.146,7,7,0,0,6146.202,gpt-5.6-terra/medium:200,19457632,18612224,0,27984,6385,19485616,5.749069,4162792,1264
