thread_id,kind,agent_path,model,reasoning_effort,responses,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,api_cost_equivalent_usd
01a06e72-0c2f-76a3-8d2b-d48f9131a1d5,root,/root,gpt-6-astra,medium,1394,188437420,186692224,0,302099,86123,188739519,219.249134
01a06e7a-125a-7dc0-a992-4d144705c30e,subagent,/root/urgent_architecture,gpt-5.6-sol,xhigh,291,35364579,33274368,0,224898,106723,35589477,26.168551
01a06e7a-bafd-7083-9317-d4fa3adcc1c2,subagent,/root/p1_inventory,gpt-5.6-terra,medium,12,745964,601088,0,4188,971,750152,0.460226
01a06e8f-6fba-7082-9df9-f425e500d2ef,subagent,/root/restoration_spec_review,gpt-5.6-sol,xhigh,139,17032689,16114816,0,73691,44642,17106380,11.591238
01a06e95-2f9b-7543-be40-46b6a7cd9490,subagent,/root/source_repair,gpt-5.6-terra,high,437,54311901,52794112,0,184417,44330,54496318,15.807404
01a06e95-7721-77b0-b808-f479d0d2c976,subagent,/root/cl_spec_review,gpt-5.6-sol,xhigh,357,43405915,40923392,0,212606,137849,43618521,30.551569
01a06e97-b0a4-7543-8278-a450011cc370,subagent,/root/cl_prompt_preflight,gpt-5.6-luna,low,104,8942848,8640768,0,16318,1662,8959166,0.252813
01a06eb5-7a23-78e1-966d-4c9781a41f2d,subagent,/root/cl_live_preflight,gpt-5.6-terra,high,29,2358644,2262784,0,19250,6219,2377894,0.875277
01a06ed0-93c1-73d0-ba0c-e6f0daed4f1e,subagent,/root/cl_prompt_draft,gpt-5.6-sol,high,30,2699488,2561536,0,10120,3702,2709608,1.778822
01a06ee1-1093-7bd1-8564-45ae8d5b9441,subagent,/root/cl_bonus_implementation,gpt-5.6-terra,high,54,8754860,8517120,0,30975,5946,8785835,2.550604
01a06efd-8952-7032-9091-dfcfe66b8c0d,subagent,/root/cl_completion,gpt-5.6-sol,high,964,133644420,131462144,0,386695,110026,134031115,69.047862
01a06f50-c161-7523-877d-50245f40df71,subagent,/root/natural_watch,gpt-5.6-terra,medium,200,19457632,18612224,0,27984,6385,19485616,5.749069
01a06e79-1e90-7021-b1b4-b563bf97a844,guardian,/guardian/auto-review,codex-auto-review,low,55,8045525,6892800,0,5734,2277,8051259,
01a06e7a-1400-7fb3-a0a8-dd91ebb1d720,guardian,/guardian/auto-review,codex-auto-review,low,19,1364547,1107200,0,1813,646,1366360,
01a06e95-3165-7bd1-9e0d-97910a97b072,guardian,/guardian/auto-review,codex-auto-review,low,61,9001775,7685888,0,6176,2397,9007951,
01a06e97-b1f7-7362-944b-901fd7c8092a,guardian,/guardian/auto-review,codex-auto-review,low,58,4028389,3707392,0,3877,875,4032266,
01a06eb5-7c43-7ef1-9793-973b3bc366c1,guardian,/guardian/auto-review,codex-auto-review,low,4,117976,62464,0,673,388,118649,
01a06ed0-95dc-7240-9962-fc1c71f98cb6,guardian,/guardian/auto-review,codex-auto-review,low,3,77264,53504,0,390,233,77654,
01a06ee1-1236-7eb3-ab9c-c0db3bfc6083,guardian,/guardian/auto-review,codex-auto-review,low,5,149966,118528,0,575,313,150541,
01a06efd-8b30-71a1-ac18-38dadb4ad27a,guardian,/guardian/auto-review,codex-auto-review,low,144,23715824,20826112,0,14925,6540,23730749,
01a06f50-c315-75b2-b93e-a14d3aa63f1c,guardian,/guardian/auto-review,codex-auto-review,low,65,6153595,5738240,0,4693,1035,6158288,
