team,rank,ELO
Frankreich,1,1877.32
Spanien,2,1876.40
Argentinien,3,1874.81
England,4,1825.97
Portugal,5,1763.83
Brasilien,6,1761.16
Niederlande,7,1757.87
Marokko,8,1755.87
Belgien,9,1734.71
Deutschland,10,1730.37
Kroatien,11,1717.07
Kolumbien,13,1693.09
Senegal,14,1688.99
Mexiko,15,1681.03
USA,16,1673.13
Uruguay,17,1673.07
Japan,18,1660.43
Schweiz,19,1649.40
Iran,21,1615.30
Türkei,22,1599.04
Ecuador,23,1594.78
Österreich,24,1593.45
Südkorea,25,1588.66
Australien,27,1580.67
Algerien,28,1564.26
Ägypten,29,1563.24
Kanada,30,1556.48
Norwegen,31,1550.94
Panama,33,1540.64
Elfenbeinküste,34,1532.98
Schweden,38,1514.77
Paraguay,40,1503.50
Tschechien,41,1501.38
Schottland,43,1498.35
Tunesien,44,1483.05
DR Kongo,46,1478.35
Usbekistan,50,1465.34
Katar,55,1454.96
Irak,57,1447.14
Südafrika,60,1429.73
Saudi-Arabien,61,1421.43
Jordanien,63,1391.45
Bosnien-Herzegowina,65,1385.84
Kap Verde,69,1366.13
Ghana,74,1346.31
Curaçao,82,1294.65
Haiti,83,1291.71
Neuseeland,85,1281.57
