DocumentName,Competition,Home_Team,Away_Team,Score,Annotation,Played_At,Source_Name,Source_Url,Verified_At,Notes
recent-history-agypten.csv,AfCup,Ägypten,Nigeria,2:4,nach Elfmeterschießen,2026-01-17,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-agypten.csv,AfCup,Senegal,Ägypten,1:0,,2026-01-14,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-agypten.csv,AfCup,Ägypten,Elfenbeinküste,3:2,,2026-01-10,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-agypten.csv,AfCup,Ägypten,Benin,3:1,nach Verlängerung,2026-01-05,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-agypten.csv,AfCup,Angola,Ägypten,0:0,,2025-12-29,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-agypten.csv,AfCup,Ägypten,Südafrika,1:0,,2025-12-26,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-agypten.csv,AfCup,Ägypten,Simbabwe,2:1,,2025-12-22,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-agypten.csv,WQCAF,Ägypten,Guinea-Bissau,1:0,,2025-10-12,FIFA African qualifying results,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/african-qualifying-results-fixtures-fifa-world-cup-26,2026-05-24,
recent-history-algerien.csv,AfCup,Algerien,Nigeria,0:2,,2026-01-10,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-algerien.csv,AfCup,Algerien,DR Kongo,1:0,nach Verlängerung,2026-01-06,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-algerien.csv,AfCup,Äquatorialguinea,Algerien,1:3,,2025-12-31,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-algerien.csv,AfCup,Algerien,Burkina Faso,1:0,,2025-12-28,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-algerien.csv,AfCup,Algerien,Sudan,3:0,,2025-12-24,Sportsgambler AFCON fixtures results,https://www.sportsgambler.com/fixtures-results/football/caf-africa-cup-of-nations/,2026-05-24,
recent-history-algerien.csv,WQCAF,Algerien,Uganda,2:1,,2025-10-14,FIFA African qualifying results,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/african-qualifying-results-fixtures-fifa-world-cup-26,2026-05-24,
recent-history-algerien.csv,WQCAF,Somalia,Algerien,0:3,,2025-10-09,FIFA African qualifying results,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/african-qualifying-results-fixtures-fifa-world-cup-26,2026-05-24,
recent-history-algerien.csv,WQCAF,Guinea,Algerien,0:0,,2025-09-08,FIFA African qualifying results,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/african-qualifying-results-fixtures-fifa-world-cup-26,2026-05-24,
recent-history-argentinien.csv,WMQCO,Ecuador,Argentinien,1:0,,2025-09-09,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-argentinien.csv,WMQCO,Argentinien,Venezuela,3:0,,2025-09-04,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-argentinien.csv,WMQCO,Argentinien,Kolumbien,1:1,,2025-06-10,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-argentinien.csv,WMQCO,Chile,Argentinien,0:1,,2025-06-05,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-argentinien.csv,WMQCO,Argentinien,Brasilien,4:1,,2025-03-25,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-argentinien.csv,WMQCO,Uruguay,Argentinien,0:1,,2025-03-21,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-argentinien.csv,WMQCO,Argentinien,Peru,1:0,,2024-11-19,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-argentinien.csv,WMQCO,Paraguay,Argentinien,2:1,,2024-11-14,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-australien.csv,WQAFC,Saudi-Arabien,Australien,1:2,,2025-06-10,FIFA AFC qualifying results,https://www.fifa.com/en/id/mens/worldcup/canadamexicousa2026/articles/asian-qualifying-results-and-fixtures-for-world-cup-26,2026-05-24,
recent-history-australien.csv,WQAFC,Australien,Japan,1:0,,2025-06-05,FIFA AFC qualifying results,https://www.fifa.com/en/id/mens/worldcup/canadamexicousa2026/articles/asian-qualifying-results-and-fixtures-for-world-cup-26,2026-05-24,
recent-history-australien.csv,WQAFC,China,Australien,0:2,,2025-03-25,FIFA AFC qualifying results,https://www.fifa.com/en/id/mens/worldcup/canadamexicousa2026/articles/asian-qualifying-results-and-fixtures-for-world-cup-26,2026-05-24,
recent-history-australien.csv,WQAFC,Australien,Indonesien,5:1,,2025-03-20,FIFA AFC qualifying results,https://www.fifa.com/en/id/mens/worldcup/canadamexicousa2026/articles/asian-qualifying-results-and-fixtures-for-world-cup-26,2026-05-24,
recent-history-australien.csv,WQAFC,Bahrain,Australien,2:2,,2024-11-19,FIFA AFC qualifying results,https://www.fifa.com/en/id/mens/worldcup/canadamexicousa2026/articles/asian-qualifying-results-and-fixtures-for-world-cup-26,2026-05-24,
recent-history-australien.csv,WQAFC,Australien,Saudi-Arabien,0:0,,2024-11-14,FIFA AFC qualifying results,https://www.fifa.com/en/id/mens/worldcup/canadamexicousa2026/articles/asian-qualifying-results-and-fixtures-for-world-cup-26,2026-05-24,
recent-history-australien.csv,WQAFC,Japan,Australien,1:1,,2024-10-15,FIFA AFC qualifying results,https://www.fifa.com/en/id/mens/worldcup/canadamexicousa2026/articles/asian-qualifying-results-and-fixtures-for-world-cup-26,2026-05-24,
recent-history-australien.csv,WQAFC,Australien,China,3:1,,2024-10-10,FIFA AFC qualifying results,https://www.fifa.com/en/id/mens/worldcup/canadamexicousa2026/articles/asian-qualifying-results-and-fixtures-for-world-cup-26,2026-05-24,
recent-history-belgien.csv,WMQua,Belgien,Liechtenstein,7:0,,2025-11-18,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-belgien.csv,WMQua,Kasachstan,Belgien,1:1,,2025-11-15,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-belgien.csv,WMQua,Wales,Belgien,2:4,,2025-10-13,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-belgien.csv,WMQua,Belgien,Nordmazedonien,0:0,,2025-10-10,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-belgien.csv,WMQua,Belgien,Kasachstan,6:0,,2025-09-07,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-belgien.csv,WMQua,Liechtenstein,Belgien,0:6,,2025-09-04,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-belgien.csv,WMQua,Belgien,Wales,4:3,,2025-06-09,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-belgien.csv,WMQua,Nordmazedonien,Belgien,1:1,,2025-06-06,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-bosnien-herzegowina.csv,WMQua,Bosnien-Herzegowina,Italien,5:2,nach Elfmeterschießen,2026-03-31,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-bosnien-herzegowina.csv,WMQua,Wales,Bosnien-Herzegowina,3:5,nach Elfmeterschießen,2026-03-26,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-bosnien-herzegowina.csv,WMQua,Österreich,Bosnien-Herzegowina,1:1,,2025-11-18,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-bosnien-herzegowina.csv,WMQua,Bosnien-Herzegowina,Rumänien,3:1,,2025-11-15,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-bosnien-herzegowina.csv,WMQua,Zypern,Bosnien-Herzegowina,2:2,,2025-10-09,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-bosnien-herzegowina.csv,WMQua,Bosnien-Herzegowina,Österreich,1:2,,2025-09-09,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-bosnien-herzegowina.csv,WMQua,San Marino,Bosnien-Herzegowina,0:6,,2025-09-06,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-bosnien-herzegowina.csv,WMQua,Bosnien-Herzegowina,San Marino,1:0,,2025-06-07,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-brasilien.csv,WMQCO,Bolivien,Brasilien,1:0,,2025-09-09,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-brasilien.csv,WMQCO,Brasilien,Chile,3:0,,2025-09-04,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-brasilien.csv,WMQCO,Brasilien,Paraguay,1:0,,2025-06-10,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-brasilien.csv,WMQCO,Ecuador,Brasilien,0:0,,2025-06-05,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-brasilien.csv,WMQCO,Argentinien,Brasilien,4:1,,2025-03-25,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-brasilien.csv,WMQCO,Brasilien,Kolumbien,2:1,,2025-03-20,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-brasilien.csv,WMQCO,Brasilien,Uruguay,1:1,,2024-11-19,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-brasilien.csv,WMQCO,Venezuela,Brasilien,1:1,,2024-11-14,FIFA CONMEBOL qualifying results,https://www.fifa.com/en/articles/south-america-conmebol-qualifying-fixtures-maches-results-world-cup-2026,2026-05-24,
recent-history-curacao.csv,WQCCC,Jamaika,Curaçao,0:0,,2025-11-18,FIFA Concacaf qualifying results,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/concacaf-eliminatorias-resultados-fixture,2026-05-24,
recent-history-curacao.csv,WQCCC,Bermuda,Curaçao,0:7,,2025-11-13,FIFA Concacaf qualifying results,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/concacaf-eliminatorias-resultados-fixture,2026-05-24,
recent-history-curacao.csv,WQCCC,Curaçao,Trinidad und Tobago,1:1,,2025-10-14,FIFA Concacaf qualifying results,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/concacaf-eliminatorias-resultados-fixture,2026-05-24,
recent-history-curacao.csv,WQCCC,Curaçao,Jamaika,2:0,,2025-10-10,FIFA Concacaf qualifying results,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/concacaf-eliminatorias-resultados-fixture,2026-05-24,
recent-history-curacao.csv,WQCCC,Curaçao,Bermuda,3:2,,2025-09-09,FIFA Concacaf qualifying results,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/concacaf-eliminatorias-resultados-fixture,2026-05-24,
recent-history-curacao.csv,WQCCC,Trinidad und Tobago,Curaçao,0:0,,2025-09-05,FIFA Concacaf qualifying results,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/concacaf-eliminatorias-resultados-fixture,2026-05-24,
recent-history-curacao.csv,WQCCC,Haiti,Curaçao,1:5,,2025-06-10,FIFA Concacaf qualifying results,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/concacaf-eliminatorias-resultados-fixture,2026-05-24,
recent-history-curacao.csv,WQCCC,Curaçao,St. Lucia,4:0,,2025-06-06,FIFA Concacaf qualifying results,https://www.fifa.com/es/tournaments/mens/worldcup/canadamexicousa2026/articles/concacaf-eliminatorias-resultados-fixture,2026-05-24,
recent-history-deutschland.csv,WMQua,Deutschland,Slowakei,6:0,,2025-11-17,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-deutschland.csv,WMQua,Luxemburg,Deutschland,0:2,,2025-11-14,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-deutschland.csv,WMQua,Nordirland,Deutschland,0:1,,2025-10-13,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-deutschland.csv,WMQua,Deutschland,Luxemburg,4:0,,2025-10-10,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-deutschland.csv,WMQua,Deutschland,Nordirland,3:1,,2025-09-07,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
recent-history-deutschland.csv,WMQua,Slowakei,Deutschland,2:0,,2025-09-04,UEFA European qualifying results,https://www.uefa.com/european-qualifiers/news/0294-1c916a81655d-47c1bac26fb9-1000--european-qualifiers-for-2026-world-cup-all-the-results/,2026-05-24,
